"No.","Time","Source","Destination","Protocol","Length","Info"
"10","0.023533744","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"11","0.026078857","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"12","0.027473732","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"13","0.028722754","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"14","0.029909232","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"15","0.030883029","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"16","0.031945811","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"17","0.054655688","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"18","0.055710078","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"19","0.056691507","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"20","0.057592868","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"21","0.058447792","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"22","0.059301051","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"23","0.060645504","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"24","0.062015634","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"26","0.063441727","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"27","0.064291634","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"28","0.065121551","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"29","0.065978306","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"30","0.066894431","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"31","0.067792007","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"32","0.068565230","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"33","0.069473095","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"34","0.070287256","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"35","0.071028244","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"36","0.071925309","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"37","0.072617383","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"38","0.073375875","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"39","0.074216940","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"40","0.074891375","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"41","0.075567221","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"42","0.076195858","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"43","0.077070920","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"44","0.077779302","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"45","0.078590466","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"46","0.079212311","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"47","0.082943377","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"48","0.083505773","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"49","0.084066818","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"50","0.084630389","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"51","0.093585421","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"52","0.104185159","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"53","0.111551535","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"54","0.112149372","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"55","0.112653107","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"56","0.113193986","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"57","0.113725380","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"58","0.114303408","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"59","0.114813932","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"60","0.115310978","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"61","0.115865517","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"62","0.116352535","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"63","0.116849783","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"64","0.117419579","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"65","0.118065694","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"66","0.121716191","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"67","0.122221750","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"68","0.122783501","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"69","0.123271520","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"70","0.123902224","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"71","0.124546570","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"72","0.137349796","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"73","0.137797613","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"74","0.154477009","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"75","0.159577248","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"76","0.182468607","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"77","0.183618506","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"78","0.184990645","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"79","0.186416647","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"80","0.208218437","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"81","0.210251992","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"82","0.212381524","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"83","0.215318669","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"84","0.221575721","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"85","0.223910050","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"86","0.225739719","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"87","0.235904480","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"88","0.238272897","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"89","0.242039623","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"90","0.253565156","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"91","0.255634781","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"92","0.257894991","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"93","0.259919704","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"94","0.262080372","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"95","0.264059234","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"96","0.266096711","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"97","0.268001392","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"98","0.283453157","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"99","0.284950984","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"100","0.286428871","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"101","0.287713519","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"102","0.289054510","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"103","0.290684541","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"104","0.291991341","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"105","0.293432879","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"106","0.307429901","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"107","0.308844170","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"108","0.310274672","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"109","0.311705103","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"110","0.313100873","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"111","0.314627707","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"112","0.315936302","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"113","0.317573406","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"114","0.319324181","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"115","0.320359303","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"116","0.321535686","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"117","0.322530903","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"118","0.323778653","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"119","0.324631981","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"120","0.325455152","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"121","0.326307828","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"122","0.327127748","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"123","0.328086700","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"124","0.328868860","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"125","0.329585004","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"126","0.330256115","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"127","0.330940855","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"128","0.331608001","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"129","0.334140754","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"130","0.334787443","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"131","0.346621152","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"132","0.349147790","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"133","0.351736347","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"134","0.353727648","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"135","0.355333925","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"136","0.356673231","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"137","0.357825105","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"138","0.358897284","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"139","0.360045917","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"140","0.361034956","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"141","0.362071821","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"142","0.363025868","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"143","0.363878219","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"144","0.364711148","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"145","0.365616344","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"146","0.366474190","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"147","0.367342826","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"148","0.368045644","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"149","0.368746855","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"150","0.369435994","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"151","0.370158399","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"152","0.372481383","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"153","0.383384347","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"154","0.407675791","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"155","0.408262780","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"156","0.409176106","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"157","0.409843439","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"158","0.410641389","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"159","0.415726313","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"160","0.416380876","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"161","0.417213560","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"162","0.418201350","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"163","0.419165440","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"164","0.419949724","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"165","0.420857494","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"166","0.433324997","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"167","0.434035244","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"168","0.434756497","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"169","0.435495996","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"170","0.436309787","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"171","0.437229806","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"172","0.438008931","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"173","0.438825221","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
"174","0.440656498","10.0.1.1","10.0.2.2","UDP","1042","43107  >  50000 Len=1000"
