frame.number,frame.time_epoch,frame.time_relative,frame.len,ip.src,ip.dst
1,1664052802.476660152,0.000000000,1442,10.0.1.1,10.0.2.2
2,1664052802.494526816,0.017866664,1442,10.0.1.1,10.0.2.2
3,1664052802.503091737,0.026431585,1442,10.0.1.1,10.0.2.2
4,1664052802.515822390,0.039162238,1442,10.0.1.1,10.0.2.2
5,1664052802.527120971,0.050460819,1442,10.0.1.1,10.0.2.2
6,1664052802.541716149,0.065055997,1442,10.0.1.1,10.0.2.2
7,1664052802.552046878,0.075386726,1442,10.0.1.1,10.0.2.2
8,1664052802.567759892,0.091099740,1442,10.0.1.1,10.0.2.2
9,1664052802.584676385,0.108016233,1442,10.0.1.1,10.0.2.2
10,1664052802.600438161,0.123778009,1442,10.0.1.1,10.0.2.2
11,1664052802.612180491,0.135520339,1442,10.0.1.1,10.0.2.2
12,1664052802.625060210,0.148400058,1442,10.0.1.1,10.0.2.2
13,1664052802.637383110,0.160722958,1442,10.0.1.1,10.0.2.2
14,1664052802.652459695,0.175799543,1442,10.0.1.1,10.0.2.2
15,1664052802.664158708,0.187498556,1442,10.0.1.1,10.0.2.2
16,1664052802.676503258,0.199843106,1442,10.0.1.1,10.0.2.2
17,1664052802.701198462,0.224538310,1442,10.0.1.1,10.0.2.2
18,1664052802.717222083,0.240561931,1442,10.0.1.1,10.0.2.2
19,1664052802.730248371,0.253588219,1442,10.0.1.1,10.0.2.2
20,1664052802.744712935,0.268052783,1442,10.0.1.1,10.0.2.2
21,1664052802.756983900,0.280323748,1442,10.0.1.1,10.0.2.2
22,1664052802.772793037,0.296132885,1442,10.0.1.1,10.0.2.2
23,1664052802.787994124,0.311333972,1442,10.0.1.1,10.0.2.2
24,1664052802.805881938,0.329221786,1442,10.0.1.1,10.0.2.2
25,1664052802.822435895,0.345775743,1442,10.0.1.1,10.0.2.2
26,1664052802.832363263,0.355703111,1442,10.0.1.1,10.0.2.2
27,1664052802.847829894,0.371169742,1442,10.0.1.1,10.0.2.2
28,1664052802.858005384,0.381345232,1442,10.0.1.1,10.0.2.2
29,1664052802.870453559,0.393793407,1442,10.0.1.1,10.0.2.2
30,1664052802.881685991,0.405025839,1442,10.0.1.1,10.0.2.2
31,1664052802.896462012,0.419801860,1442,10.0.1.1,10.0.2.2
32,1664052802.908944984,0.432284832,1442,10.0.1.1,10.0.2.2
33,1664052802.921073929,0.444413777,1442,10.0.1.1,10.0.2.2
34,1664052802.933304374,0.456644222,1442,10.0.1.1,10.0.2.2
35,1664052802.945090194,0.468430042,1442,10.0.1.1,10.0.2.2
36,1664052802.956997226,0.480337074,1442,10.0.1.1,10.0.2.2
37,1664052802.969024225,0.492364073,1442,10.0.1.1,10.0.2.2
38,1664052803.037264861,0.560604709,1442,10.0.1.1,10.0.2.2
39,1664052803.048738002,0.572077850,1442,10.0.1.1,10.0.2.2
40,1664052803.060815695,0.584155543,1442,10.0.1.1,10.0.2.2
41,1664052803.089278589,0.612618437,1442,10.0.1.1,10.0.2.2
42,1664052803.105085200,0.628425048,1442,10.0.1.1,10.0.2.2
43,1664052803.118729909,0.642069757,1442,10.0.1.1,10.0.2.2
44,1664052803.136645589,0.659985437,1442,10.0.1.1,10.0.2.2
45,1664052803.149939879,0.673279727,1442,10.0.1.1,10.0.2.2
46,1664052803.165912495,0.689252343,1442,10.0.1.1,10.0.2.2
47,1664052803.179343077,0.702682925,1442,10.0.1.1,10.0.2.2
48,1664052803.193292952,0.716632800,1442,10.0.1.1,10.0.2.2
49,1664052803.208374265,0.731714113,1442,10.0.1.1,10.0.2.2
50,1664052803.222070481,0.745410329,1442,10.0.1.1,10.0.2.2
51,1664052803.234075669,0.757415517,1442,10.0.1.1,10.0.2.2
52,1664052803.246321204,0.769661052,1442,10.0.1.1,10.0.2.2
53,1664052803.258711444,0.782051292,1442,10.0.1.1,10.0.2.2
54,1664052803.272795383,0.796135231,1442,10.0.1.1,10.0.2.2
55,1664052803.284876593,0.808216441,1442,10.0.1.1,10.0.2.2
56,1664052803.303601682,0.826941530,1442,10.0.1.1,10.0.2.2
57,1664052803.309767850,0.833107698,1442,10.0.1.1,10.0.2.2
58,1664052803.321681260,0.845021108,1442,10.0.1.1,10.0.2.2
59,1664052803.333575826,0.856915674,1442,10.0.1.1,10.0.2.2
60,1664052803.346865792,0.870205640,1442,10.0.1.1,10.0.2.2
61,1664052803.361641357,0.884981205,1442,10.0.1.1,10.0.2.2
62,1664052803.372780139,0.896119987,1442,10.0.1.1,10.0.2.2
