frame.number,frame.time_epoch,frame.time_relative,frame.len,ip.src,ip.dst
1,1664052983.977695441,0.000000000,1442,10.0.1.1,10.0.2.2
2,1664052983.990942038,0.013246597,1442,10.0.1.1,10.0.2.2
3,1664052984.004437803,0.026742362,1442,10.0.1.1,10.0.2.2
4,1664052984.016936073,0.039240632,1442,10.0.1.1,10.0.2.2
5,1664052984.029241217,0.051545776,1442,10.0.1.1,10.0.2.2
6,1664052984.041065019,0.063369578,1442,10.0.1.1,10.0.2.2
7,1664052984.053258002,0.075562561,1442,10.0.1.1,10.0.2.2
8,1664052984.068482660,0.090787219,1442,10.0.1.1,10.0.2.2
9,1664052984.086997339,0.109301898,1442,10.0.1.1,10.0.2.2
10,1664052984.106025317,0.128329876,1442,10.0.1.1,10.0.2.2
11,1664052984.113825928,0.136130487,1442,10.0.1.1,10.0.2.2
12,1664052984.126661409,0.148965968,1442,10.0.1.1,10.0.2.2
13,1664052984.141914087,0.164218646,1442,10.0.1.1,10.0.2.2
14,1664052984.154201475,0.176506034,1442,10.0.1.1,10.0.2.2
15,1664052984.166266347,0.188570906,1442,10.0.1.1,10.0.2.2
16,1664052984.178321845,0.200626404,1442,10.0.1.1,10.0.2.2
17,1664052984.203044962,0.225349521,1442,10.0.1.1,10.0.2.2
18,1664052984.218263893,0.240568452,1442,10.0.1.1,10.0.2.2
19,1664052984.231139490,0.253444049,1442,10.0.1.1,10.0.2.2
20,1664052984.245687502,0.267992061,1442,10.0.1.1,10.0.2.2
21,1664052984.257703831,0.280008390,1442,10.0.1.1,10.0.2.2
22,1664052984.276830520,0.299135079,1442,10.0.1.1,10.0.2.2
23,1664052984.288645045,0.310949604,1442,10.0.1.1,10.0.2.2
24,1664052984.306005318,0.328309877,1442,10.0.1.1,10.0.2.2
25,1664052984.320393469,0.342698028,1442,10.0.1.1,10.0.2.2
26,1664052984.333405591,0.355710150,1442,10.0.1.1,10.0.2.2
27,1664052984.346343822,0.368648381,1442,10.0.1.1,10.0.2.2
28,1664052984.359004331,0.381308890,1442,10.0.1.1,10.0.2.2
29,1664052984.370894803,0.393199362,1442,10.0.1.1,10.0.2.2
30,1664052984.383346210,0.405650769,1442,10.0.1.1,10.0.2.2
31,1664052984.397804905,0.420109464,1442,10.0.1.1,10.0.2.2
32,1664052984.409946340,0.432250899,1442,10.0.1.1,10.0.2.2
33,1664052984.421992474,0.444297033,1442,10.0.1.1,10.0.2.2
34,1664052984.433908324,0.456212883,1442,10.0.1.1,10.0.2.2
35,1664052984.446024027,0.468328586,1442,10.0.1.1,10.0.2.2
36,1664052984.457886911,0.480191470,1442,10.0.1.1,10.0.2.2
37,1664052984.470341841,0.492646400,1442,10.0.1.1,10.0.2.2
38,1664052984.537799938,0.560104497,1442,10.0.1.1,10.0.2.2
39,1664052984.552581945,0.574886504,1442,10.0.1.1,10.0.2.2
40,1664052984.562229776,0.584534335,1442,10.0.1.1,10.0.2.2
41,1664052984.590636506,0.612941065,1442,10.0.1.1,10.0.2.2
42,1664052984.606459109,0.628763668,1442,10.0.1.1,10.0.2.2
43,1664052984.620046431,0.642350990,1442,10.0.1.1,10.0.2.2
44,1664052984.638524460,0.660829019,1442,10.0.1.1,10.0.2.2
45,1664052984.651017741,0.673322300,1442,10.0.1.1,10.0.2.2
46,1664052984.668167074,0.690471633,1442,10.0.1.1,10.0.2.2
47,1664052984.681103541,0.703408100,1442,10.0.1.1,10.0.2.2
48,1664052984.694916747,0.717221306,1442,10.0.1.1,10.0.2.2
49,1664052984.710244469,0.732549028,1442,10.0.1.1,10.0.2.2
50,1664052984.723649683,0.745954242,1442,10.0.1.1,10.0.2.2
51,1664052984.735996098,0.758300657,1442,10.0.1.1,10.0.2.2
52,1664052984.747959308,0.770263867,1442,10.0.1.1,10.0.2.2
53,1664052984.760159781,0.782464340,1442,10.0.1.1,10.0.2.2
54,1664052984.782430411,0.804734970,1442,10.0.1.1,10.0.2.2
55,1664052984.786946131,0.809250690,1442,10.0.1.1,10.0.2.2
56,1664052984.798973303,0.821277862,1442,10.0.1.1,10.0.2.2
57,1664052984.811453357,0.833757916,1442,10.0.1.1,10.0.2.2
58,1664052984.823727669,0.846032228,1442,10.0.1.1,10.0.2.2
59,1664052984.835649437,0.857953996,1442,10.0.1.1,10.0.2.2
60,1664052984.849098107,0.871402666,1442,10.0.1.1,10.0.2.2
61,1664052984.862820340,0.885124899,1442,10.0.1.1,10.0.2.2
