frame.number,frame.time_epoch,frame.time_relative,frame.len,ip.src,ip.dst
1,1664052893.121948971,0.000000000,1442,10.0.1.1,10.0.2.2
2,1664052893.135172460,0.013223489,1442,10.0.1.1,10.0.2.2
3,1664052893.156861919,0.034912948,1442,10.0.1.1,10.0.2.2
4,1664052893.160654122,0.038705151,1442,10.0.1.1,10.0.2.2
5,1664052893.172930560,0.050981589,1442,10.0.1.1,10.0.2.2
6,1664052893.185948511,0.063999540,1442,10.0.1.1,10.0.2.2
7,1664052893.197668632,0.075719661,1442,10.0.1.1,10.0.2.2
8,1664052893.213105735,0.091156764,1442,10.0.1.1,10.0.2.2
9,1664052893.230158711,0.108209740,1442,10.0.1.1,10.0.2.2
10,1664052893.246242326,0.124293355,1442,10.0.1.1,10.0.2.2
11,1664052893.257910415,0.135961444,1442,10.0.1.1,10.0.2.2
12,1664052893.271182419,0.149233448,1442,10.0.1.1,10.0.2.2
13,1664052893.283277616,0.161328645,1442,10.0.1.1,10.0.2.2
14,1664052893.298327683,0.176378712,1442,10.0.1.1,10.0.2.2
15,1664052893.310278824,0.188329853,1442,10.0.1.1,10.0.2.2
16,1664052893.323305802,0.201356831,1442,10.0.1.1,10.0.2.2
17,1664052893.347301962,0.225352991,1442,10.0.1.1,10.0.2.2
18,1664052893.363041954,0.241092983,1442,10.0.1.1,10.0.2.2
19,1664052893.376079187,0.254130216,1442,10.0.1.1,10.0.2.2
20,1664052893.390336725,0.268387754,1442,10.0.1.1,10.0.2.2
21,1664052893.402447927,0.280498956,1442,10.0.1.1,10.0.2.2
22,1664052893.418321375,0.296372404,1442,10.0.1.1,10.0.2.2
23,1664052893.433520741,0.311571770,1442,10.0.1.1,10.0.2.2
24,1664052893.451212867,0.329263896,1442,10.0.1.1,10.0.2.2
25,1664052893.465696062,0.343747091,1442,10.0.1.1,10.0.2.2
26,1664052893.485687884,0.363738913,1442,10.0.1.1,10.0.2.2
27,1664052893.490811609,0.368862638,1442,10.0.1.1,10.0.2.2
28,1664052893.503166064,0.381217093,1442,10.0.1.1,10.0.2.2
29,1664052893.515234427,0.393285456,1442,10.0.1.1,10.0.2.2
