frame.number,frame.time_epoch,frame.time_relative,frame.len,ip.src,ip.dst
1,1664052710.720946377,0.000000000,1442,10.0.1.1,10.0.2.2
2,1664052710.734400532,0.013454155,1442,10.0.1.1,10.0.2.2
3,1664052710.747778430,0.026832053,1442,10.0.1.1,10.0.2.2
4,1664052710.759747852,0.038801475,1442,10.0.1.1,10.0.2.2
5,1664052710.781127482,0.060181105,1442,10.0.1.1,10.0.2.2
6,1664052710.785029503,0.064083126,1442,10.0.1.1,10.0.2.2
7,1664052710.796849162,0.075902785,1442,10.0.1.1,10.0.2.2
8,1664052710.812526289,0.091579912,1442,10.0.1.1,10.0.2.2
9,1664052710.829602587,0.108656210,1442,10.0.1.1,10.0.2.2
10,1664052710.845019268,0.124072891,1442,10.0.1.1,10.0.2.2
11,1664052710.857018985,0.136072608,1442,10.0.1.1,10.0.2.2
12,1664052710.870108142,0.149161765,1442,10.0.1.1,10.0.2.2
13,1664052710.882221962,0.161275585,1442,10.0.1.1,10.0.2.2
14,1664052710.897393524,0.176447147,1442,10.0.1.1,10.0.2.2
15,1664052710.909501819,0.188555442,1442,10.0.1.1,10.0.2.2
16,1664052710.921782154,0.200835777,1442,10.0.1.1,10.0.2.2
17,1664052710.946692758,0.225746381,1442,10.0.1.1,10.0.2.2
18,1664052710.962349393,0.241403016,1442,10.0.1.1,10.0.2.2
19,1664052710.975628509,0.254682132,1442,10.0.1.1,10.0.2.2
20,1664052710.990033528,0.269087151,1442,10.0.1.1,10.0.2.2
21,1664052711.003014159,0.282067782,1442,10.0.1.1,10.0.2.2
22,1664052711.018833318,0.297886941,1442,10.0.1.1,10.0.2.2
23,1664052711.033823592,0.312877215,1442,10.0.1.1,10.0.2.2
24,1664052711.050570633,0.329624256,1442,10.0.1.1,10.0.2.2
25,1664052711.065042452,0.344096075,1442,10.0.1.1,10.0.2.2
26,1664052711.078003294,0.357056917,1442,10.0.1.1,10.0.2.2
27,1664052711.090882089,0.369935712,1442,10.0.1.1,10.0.2.2
28,1664052711.103524003,0.382577626,1442,10.0.1.1,10.0.2.2
29,1664052711.115399419,0.394453042,1442,10.0.1.1,10.0.2.2
30,1664052711.127782340,0.406835963,1442,10.0.1.1,10.0.2.2
31,1664052711.142266063,0.421319686,1442,10.0.1.1,10.0.2.2
32,1664052711.155032215,0.434085838,1442,10.0.1.1,10.0.2.2
33,1664052711.166965483,0.446019106,1442,10.0.1.1,10.0.2.2
34,1664052711.178984797,0.458038420,1442,10.0.1.1,10.0.2.2
35,1664052711.191518460,0.470572083,1442,10.0.1.1,10.0.2.2
36,1664052711.202872864,0.481926487,1442,10.0.1.1,10.0.2.2
37,1664052711.215097736,0.494151359,1442,10.0.1.1,10.0.2.2
