frame.number,frame.time_epoch,frame.time_relative,frame.len,ip.src,ip.dst
1,1664055868.577701783,0.000000000,1442,10.0.1.1,10.0.2.2
2,1664055868.590296173,0.012594390,1442,10.0.1.1,10.0.2.2
3,1664055868.604108085,0.026406302,1442,10.0.1.1,10.0.2.2
4,1664055868.618979011,0.041277228,1442,10.0.1.1,10.0.2.2
5,1664055868.631179693,0.053477910,1442,10.0.1.1,10.0.2.2
6,1664055868.644561261,0.066859478,1442,10.0.1.1,10.0.2.2
7,1664055868.655798774,0.078096991,1442,10.0.1.1,10.0.2.2
8,1664055868.673166476,0.095464693,1442,10.0.1.1,10.0.2.2
9,1664055868.688096666,0.110394883,1442,10.0.1.1,10.0.2.2
10,1664055868.705008415,0.127306632,1442,10.0.1.1,10.0.2.2
11,1664055868.715720891,0.138019108,1442,10.0.1.1,10.0.2.2
12,1664055868.728895105,0.151193322,1442,10.0.1.1,10.0.2.2
13,1664055868.741229514,0.163527731,1442,10.0.1.1,10.0.2.2
14,1664055868.756179140,0.178477357,1442,10.0.1.1,10.0.2.2
15,1664055868.768210829,0.190509046,1442,10.0.1.1,10.0.2.2
16,1664055868.780805892,0.203104109,1442,10.0.1.1,10.0.2.2
17,1664055868.805215370,0.227513587,1442,10.0.1.1,10.0.2.2
18,1664055868.821222884,0.243521101,1442,10.0.1.1,10.0.2.2
19,1664055868.834111525,0.256409742,1442,10.0.1.1,10.0.2.2
20,1664055868.848683310,0.270981527,1442,10.0.1.1,10.0.2.2
21,1664055868.860798292,0.283096509,1442,10.0.1.1,10.0.2.2
22,1664055868.876481032,0.298779249,1442,10.0.1.1,10.0.2.2
23,1664055868.891669554,0.313967771,1442,10.0.1.1,10.0.2.2
24,1664055868.908737901,0.331036118,1442,10.0.1.1,10.0.2.2
25,1664055868.924049109,0.346347326,1442,10.0.1.1,10.0.2.2
26,1664055868.937870268,0.360168485,1442,10.0.1.1,10.0.2.2
27,1664055868.950484846,0.372783063,1442,10.0.1.1,10.0.2.2
28,1664055868.963159201,0.385457418,1442,10.0.1.1,10.0.2.2
29,1664055868.975328313,0.397626530,1442,10.0.1.1,10.0.2.2
30,1664055868.987256710,0.409554927,1442,10.0.1.1,10.0.2.2
31,1664055869.001927761,0.424225978,1442,10.0.1.1,10.0.2.2
32,1664055869.014345520,0.436643737,1442,10.0.1.1,10.0.2.2
33,1664055869.026663702,0.448961919,1442,10.0.1.1,10.0.2.2
34,1664055869.038434550,0.460732767,1442,10.0.1.1,10.0.2.2
35,1664055869.050548133,0.472846350,1442,10.0.1.1,10.0.2.2
36,1664055869.062471868,0.484770085,1442,10.0.1.1,10.0.2.2
37,1664055869.075595328,0.497893545,1442,10.0.1.1,10.0.2.2
38,1664055869.141304706,0.563602923,1442,10.0.1.1,10.0.2.2
39,1664055869.154524862,0.576823079,1442,10.0.1.1,10.0.2.2
40,1664055869.166910380,0.589208597,1442,10.0.1.1,10.0.2.2
41,1664055869.194782348,0.617080565,1442,10.0.1.1,10.0.2.2
42,1664055869.210776336,0.633074553,1442,10.0.1.1,10.0.2.2
43,1664055869.224395616,0.646693833,1442,10.0.1.1,10.0.2.2
44,1664055869.242571271,0.664869488,1442,10.0.1.1,10.0.2.2
45,1664055869.255464201,0.677762418,1442,10.0.1.1,10.0.2.2
46,1664055869.271493650,0.693791867,1442,10.0.1.1,10.0.2.2
47,1664055869.285328465,0.707626682,1442,10.0.1.1,10.0.2.2
48,1664055869.298702757,0.721000974,1442,10.0.1.1,10.0.2.2
49,1664055869.313844113,0.736142330,1442,10.0.1.1,10.0.2.2
50,1664055869.327522195,0.749820412,1442,10.0.1.1,10.0.2.2
51,1664055869.339896879,0.762195096,1442,10.0.1.1,10.0.2.2
52,1664055869.351795650,0.774093867,1442,10.0.1.1,10.0.2.2
53,1664055869.363979103,0.786277320,1442,10.0.1.1,10.0.2.2
54,1664055869.378274291,0.800572508,1442,10.0.1.1,10.0.2.2
55,1664055869.390720241,0.813018458,1442,10.0.1.1,10.0.2.2
56,1664055869.402703290,0.825001507,1442,10.0.1.1,10.0.2.2
57,1664055869.415240497,0.837538714,1442,10.0.1.1,10.0.2.2
58,1664055869.427454536,0.849752753,1442,10.0.1.1,10.0.2.2
59,1664055869.439599880,0.861898097,1442,10.0.1.1,10.0.2.2
60,1664055869.452836730,0.875134947,1442,10.0.1.1,10.0.2.2
61,1664055869.466579601,0.888877818,1442,10.0.1.1,10.0.2.2
62,1664055869.478285968,0.900584185,1442,10.0.1.1,10.0.2.2
63,1664055869.491044190,0.913342407,1442,10.0.1.1,10.0.2.2
64,1664055869.502849182,0.925147399,1442,10.0.1.1,10.0.2.2
65,1664055869.516064002,0.938362219,1442,10.0.1.1,10.0.2.2
66,1664055869.527778756,0.950076973,1442,10.0.1.1,10.0.2.2
67,1664055869.540659940,0.962958157,1442,10.0.1.1,10.0.2.2
68,1664055869.554643202,0.976941419,1442,10.0.1.1,10.0.2.2
69,1664055869.566777734,0.989075951,1442,10.0.1.1,10.0.2.2
70,1664055869.581123094,1.003421311,1442,10.0.1.1,10.0.2.2
71,1664055869.592488640,1.014786857,1442,10.0.1.1,10.0.2.2
72,1664055869.604647339,1.026945556,1442,10.0.1.1,10.0.2.2
73,1664055869.619491436,1.041789653,1442,10.0.1.1,10.0.2.2
74,1664055869.633069032,1.055367249,1442,10.0.1.1,10.0.2.2
75,1664055869.646021183,1.068319400,1442,10.0.1.1,10.0.2.2
76,1664055869.658466423,1.080764640,1442,10.0.1.1,10.0.2.2
77,1664055869.670161636,1.092459853,1442,10.0.1.1,10.0.2.2
78,1664055869.684861030,1.107159247,1442,10.0.1.1,10.0.2.2
79,1664055869.698577976,1.120876193,1442,10.0.1.1,10.0.2.2
80,1664055869.713053765,1.135351982,1442,10.0.1.1,10.0.2.2
81,1664055869.725389389,1.147687606,1442,10.0.1.1,10.0.2.2
82,1664055869.738138995,1.160437212,1442,10.0.1.1,10.0.2.2
83,1664055869.750330245,1.172628462,1442,10.0.1.1,10.0.2.2
84,1664055869.763014969,1.185313186,1442,10.0.1.1,10.0.2.2
