frame.number,frame.time_epoch,frame.time_relative,frame.len,ip.src,ip.dst
1,1664056050.497306461,0.000000000,1442,10.0.1.1,10.0.2.2
2,1664056050.510602346,0.013295885,1442,10.0.1.1,10.0.2.2
3,1664056050.523774171,0.026467710,1442,10.0.1.1,10.0.2.2
4,1664056050.547906983,0.050600522,1442,10.0.1.1,10.0.2.2
5,1664056050.548730403,0.051423942,1442,10.0.1.1,10.0.2.2
6,1664056050.561494229,0.064187768,1442,10.0.1.1,10.0.2.2
7,1664056050.573166696,0.075860235,1442,10.0.1.1,10.0.2.2
8,1664056050.588184913,0.090878452,1442,10.0.1.1,10.0.2.2
9,1664056050.605099375,0.107792914,1442,10.0.1.1,10.0.2.2
10,1664056050.624296605,0.126990144,1442,10.0.1.1,10.0.2.2
11,1664056050.632870198,0.135563737,1442,10.0.1.1,10.0.2.2
12,1664056050.646159627,0.148853166,1442,10.0.1.1,10.0.2.2
13,1664056050.658302620,0.160996159,1442,10.0.1.1,10.0.2.2
14,1664056050.673331416,0.176024955,1442,10.0.1.1,10.0.2.2
15,1664056050.684915690,0.187609229,1442,10.0.1.1,10.0.2.2
16,1664056050.697270449,0.199963988,1442,10.0.1.1,10.0.2.2
17,1664056050.721978487,0.224672026,1442,10.0.1.1,10.0.2.2
18,1664056050.737887361,0.240580900,1442,10.0.1.1,10.0.2.2
19,1664056050.750568591,0.253262130,1442,10.0.1.1,10.0.2.2
20,1664056050.765342312,0.268035851,1442,10.0.1.1,10.0.2.2
21,1664056050.777052845,0.279746384,1442,10.0.1.1,10.0.2.2
22,1664056050.792863246,0.295556785,1442,10.0.1.1,10.0.2.2
23,1664056050.808045512,0.310739051,1442,10.0.1.1,10.0.2.2
24,1664056050.825054312,0.327747851,1442,10.0.1.1,10.0.2.2
25,1664056050.839555940,0.342249479,1442,10.0.1.1,10.0.2.2
26,1664056050.852417209,0.355110748,1442,10.0.1.1,10.0.2.2
27,1664056050.865248302,0.367941841,1442,10.0.1.1,10.0.2.2
28,1664056050.877685198,0.380378737,1442,10.0.1.1,10.0.2.2
29,1664056050.893436974,0.396130513,1442,10.0.1.1,10.0.2.2
30,1664056050.902037321,0.404730860,1442,10.0.1.1,10.0.2.2
31,1664056050.916751624,0.419445163,1442,10.0.1.1,10.0.2.2
32,1664056050.929963914,0.432657453,1442,10.0.1.1,10.0.2.2
33,1664056050.942249215,0.444942754,1442,10.0.1.1,10.0.2.2
34,1664056050.954790111,0.457483650,1442,10.0.1.1,10.0.2.2
35,1664056050.966294133,0.468987672,1442,10.0.1.1,10.0.2.2
36,1664056050.977892460,0.480585999,1442,10.0.1.1,10.0.2.2
37,1664056050.990526960,0.493220499,1442,10.0.1.1,10.0.2.2
38,1664056051.056351184,0.559044723,1442,10.0.1.1,10.0.2.2
39,1664056051.070835360,0.573528899,1442,10.0.1.1,10.0.2.2
40,1664056051.082302365,0.584995904,1442,10.0.1.1,10.0.2.2
41,1664056051.110222342,0.612915881,1442,10.0.1.1,10.0.2.2
42,1664056051.125916416,0.628609955,1442,10.0.1.1,10.0.2.2
43,1664056051.139612500,0.642306039,1442,10.0.1.1,10.0.2.2
44,1664056051.157797442,0.660490981,1442,10.0.1.1,10.0.2.2
45,1664056051.170487295,0.673180834,1442,10.0.1.1,10.0.2.2
46,1664056051.186989565,0.689683104,1442,10.0.1.1,10.0.2.2
47,1664056051.200396040,0.703089579,1442,10.0.1.1,10.0.2.2
48,1664056051.213952993,0.716646532,1442,10.0.1.1,10.0.2.2
49,1664056051.228593881,0.731287420,1442,10.0.1.1,10.0.2.2
50,1664056051.242585322,0.745278861,1442,10.0.1.1,10.0.2.2
51,1664056051.254339110,0.757032649,1442,10.0.1.1,10.0.2.2
52,1664056051.266366548,0.769060087,1442,10.0.1.1,10.0.2.2
53,1664056051.278361458,0.781054997,1442,10.0.1.1,10.0.2.2
54,1664056051.292846203,0.795539742,1442,10.0.1.1,10.0.2.2
55,1664056051.305347662,0.808041201,1442,10.0.1.1,10.0.2.2
56,1664056051.317389082,0.820082621,1442,10.0.1.1,10.0.2.2
57,1664056051.337424005,0.840117544,1442,10.0.1.1,10.0.2.2
58,1664056051.341818173,0.844511712,1442,10.0.1.1,10.0.2.2
59,1664056051.354051836,0.856745375,1442,10.0.1.1,10.0.2.2
60,1664056051.368305060,0.870998599,1442,10.0.1.1,10.0.2.2
61,1664056051.381109842,0.883803381,1442,10.0.1.1,10.0.2.2
62,1664056051.393158502,0.895852041,1442,10.0.1.1,10.0.2.2
63,1664056051.405795718,0.908489257,1442,10.0.1.1,10.0.2.2
64,1664056051.417376766,0.920070305,1442,10.0.1.1,10.0.2.2
65,1664056051.430014750,0.932708289,1442,10.0.1.1,10.0.2.2
66,1664056051.442218281,0.944911820,1442,10.0.1.1,10.0.2.2
67,1664056051.454147554,0.956841093,1442,10.0.1.1,10.0.2.2
68,1664056051.468509837,0.971203376,1442,10.0.1.1,10.0.2.2
69,1664056051.480807336,0.983500875,1442,10.0.1.1,10.0.2.2
70,1664056051.493455274,0.996148813,1442,10.0.1.1,10.0.2.2
71,1664056051.507877392,1.010570931,1442,10.0.1.1,10.0.2.2
72,1664056051.519124066,1.021817605,1442,10.0.1.1,10.0.2.2
73,1664056051.533251483,1.035945022,1442,10.0.1.1,10.0.2.2
74,1664056051.545639091,1.048332630,1442,10.0.1.1,10.0.2.2
75,1664056051.557937013,1.060630552,1442,10.0.1.1,10.0.2.2
76,1664056051.570466435,1.073159974,1442,10.0.1.1,10.0.2.2
77,1664056051.582214602,1.084908141,1442,10.0.1.1,10.0.2.2
78,1664056051.596827345,1.099520884,1442,10.0.1.1,10.0.2.2
79,1664056051.610299996,1.112993535,1442,10.0.1.1,10.0.2.2
80,1664056051.625091926,1.127785465,1442,10.0.1.1,10.0.2.2
81,1664056051.637247639,1.139941178,1442,10.0.1.1,10.0.2.2
82,1664056051.649873617,1.152567156,1442,10.0.1.1,10.0.2.2
83,1664056051.662315480,1.165009019,1442,10.0.1.1,10.0.2.2
84,1664056051.674993294,1.177686833,1442,10.0.1.1,10.0.2.2
85,1664056051.687392486,1.190086025,1442,10.0.1.1,10.0.2.2
86,1664056051.702117849,1.204811388,1442,10.0.1.1,10.0.2.2
87,1664056051.714446070,1.217139609,1442,10.0.1.1,10.0.2.2
88,1664056051.727435281,1.230128820,1442,10.0.1.1,10.0.2.2
89,1664056051.741879957,1.244573496,1442,10.0.1.1,10.0.2.2
90,1664056051.754021566,1.256715105,1442,10.0.1.1,10.0.2.2
91,1664056051.766208185,1.268901724,1442,10.0.1.1,10.0.2.2
92,1664056051.778258352,1.280951891,1442,10.0.1.1,10.0.2.2
93,1664056051.790759839,1.293453378,1442,10.0.1.1,10.0.2.2
94,1664056051.802478226,1.305171765,1442,10.0.1.1,10.0.2.2
95,1664056051.814492700,1.317186239,1442,10.0.1.1,10.0.2.2
96,1664056051.826644064,1.329337603,1442,10.0.1.1,10.0.2.2
97,1664056051.849721061,1.352414600,1442,10.0.1.1,10.0.2.2
98,1664056051.850727599,1.353421138,1442,10.0.1.1,10.0.2.2
99,1664056051.862639841,1.365333380,1442,10.0.1.1,10.0.2.2
100,1664056051.874742084,1.377435623,1442,10.0.1.1,10.0.2.2
101,1664056051.889471895,1.392165434,1442,10.0.1.1,10.0.2.2
102,1664056051.901432653,1.404126192,1442,10.0.1.1,10.0.2.2
103,1664056051.914458721,1.417152260,1442,10.0.1.1,10.0.2.2
104,1664056051.927352314,1.430045853,1442,10.0.1.1,10.0.2.2
105,1664056051.939830886,1.442524425,1442,10.0.1.1,10.0.2.2
106,1664056051.952281846,1.454975385,1442,10.0.1.1,10.0.2.2
107,1664056051.964818091,1.467511630,1442,10.0.1.1,10.0.2.2
108,1664056051.976800984,1.479494523,1442,10.0.1.1,10.0.2.2
109,1664056051.988718389,1.491411928,1442,10.0.1.1,10.0.2.2
110,1664056052.001174543,1.503868082,1442,10.0.1.1,10.0.2.2
111,1664056052.013123265,1.515816804,1442,10.0.1.1,10.0.2.2
112,1664056052.027734905,1.530428444,1442,10.0.1.1,10.0.2.2
113,1664056052.042423323,1.545116862,1442,10.0.1.1,10.0.2.2
114,1664056052.054867479,1.557561018,1442,10.0.1.1,10.0.2.2
115,1664056052.068974211,1.571667750,1442,10.0.1.1,10.0.2.2
116,1664056052.083679962,1.586373501,1442,10.0.1.1,10.0.2.2
117,1664056052.096005866,1.598699405,1442,10.0.1.1,10.0.2.2
118,1664056052.110728928,1.613422467,1442,10.0.1.1,10.0.2.2
119,1664056052.122707925,1.625401464,1442,10.0.1.1,10.0.2.2
120,1664056052.134765803,1.637459342,1442,10.0.1.1,10.0.2.2
121,1664056052.147137490,1.649831029,1442,10.0.1.1,10.0.2.2
122,1664056052.158998386,1.661691925,1442,10.0.1.1,10.0.2.2
123,1664056052.174181229,1.676874768,1442,10.0.1.1,10.0.2.2
124,1664056052.187899538,1.690593077,1442,10.0.1.1,10.0.2.2
125,1664056052.203773910,1.706467449,1442,10.0.1.1,10.0.2.2
126,1664056052.219055171,1.721748710,1442,10.0.1.1,10.0.2.2
127,1664056052.232000126,1.734693665,1442,10.0.1.1,10.0.2.2
128,1664056052.246505363,1.749198902,1442,10.0.1.1,10.0.2.2
129,1664056052.258847404,1.761540943,1442,10.0.1.1,10.0.2.2
130,1664056052.270931837,1.773625376,1442,10.0.1.1,10.0.2.2
131,1664056052.283734378,1.786427917,1442,10.0.1.1,10.0.2.2
132,1664056052.295783286,1.798476825,1442,10.0.1.1,10.0.2.2
133,1664056052.308003236,1.810696775,1442,10.0.1.1,10.0.2.2
134,1664056052.321523946,1.824217485,1442,10.0.1.1,10.0.2.2
135,1664056052.333746253,1.836439792,1442,10.0.1.1,10.0.2.2
136,1664056052.356839381,1.859532920,1442,10.0.1.1,10.0.2.2
137,1664056052.360126501,1.862820040,1442,10.0.1.1,10.0.2.2
138,1664056052.372692523,1.875386062,1442,10.0.1.1,10.0.2.2
139,1664056052.386881472,1.889575011,1442,10.0.1.1,10.0.2.2
140,1664056052.400799757,1.903493296,1442,10.0.1.1,10.0.2.2
141,1664056052.415117480,1.917811019,1442,10.0.1.1,10.0.2.2
142,1664056052.427323280,1.930016819,1442,10.0.1.1,10.0.2.2
143,1664056052.439414744,1.942108283,1442,10.0.1.1,10.0.2.2
144,1664056052.454683817,1.957377356,1442,10.0.1.1,10.0.2.2
145,1664056052.468279647,1.970973186,1442,10.0.1.1,10.0.2.2
146,1664056052.480924456,1.983617995,1442,10.0.1.1,10.0.2.2
147,1664056052.494698268,1.997391807,1442,10.0.1.1,10.0.2.2
148,1664056052.508995961,2.011689500,1442,10.0.1.1,10.0.2.2
149,1664056052.519152390,2.021845929,1442,10.0.1.1,10.0.2.2
150,1664056052.534916878,2.037610417,1442,10.0.1.1,10.0.2.2
151,1664056052.547190097,2.049883636,1442,10.0.1.1,10.0.2.2
152,1664056052.559393492,2.062087031,1442,10.0.1.1,10.0.2.2
153,1664056052.571605711,2.074299250,1442,10.0.1.1,10.0.2.2
154,1664056052.583808489,2.086502028,1442,10.0.1.1,10.0.2.2
155,1664056052.595972130,2.098665669,1442,10.0.1.1,10.0.2.2
156,1664056052.608104416,2.110797955,1442,10.0.1.1,10.0.2.2
157,1664056052.619928351,2.122621890,1442,10.0.1.1,10.0.2.2
158,1664056052.636352534,2.139046073,1442,10.0.1.1,10.0.2.2
159,1664056052.652556966,2.155250505,1442,10.0.1.1,10.0.2.2
160,1664056052.665018804,2.167712343,1442,10.0.1.1,10.0.2.2
161,1664056052.679338253,2.182031792,1442,10.0.1.1,10.0.2.2
162,1664056052.691922466,2.194616005,1442,10.0.1.1,10.0.2.2
163,1664056052.711761382,2.214454921,1442,10.0.1.1,10.0.2.2
164,1664056052.724019069,2.226712608,1442,10.0.1.1,10.0.2.2
165,1664056052.736578720,2.239272259,1442,10.0.1.1,10.0.2.2
166,1664056052.749328770,2.252022309,1442,10.0.1.1,10.0.2.2
167,1664056052.761608309,2.264301848,1442,10.0.1.1,10.0.2.2
168,1664056052.773886513,2.276580052,1442,10.0.1.1,10.0.2.2
169,1664056052.787503433,2.290196972,1442,10.0.1.1,10.0.2.2
170,1664056052.799565396,2.302258935,1442,10.0.1.1,10.0.2.2
171,1664056052.811404488,2.314098027,1442,10.0.1.1,10.0.2.2
172,1664056052.823869518,2.326563057,1442,10.0.1.1,10.0.2.2
173,1664056052.836313248,2.339006787,1442,10.0.1.1,10.0.2.2
174,1664056052.848118022,2.350811561,1442,10.0.1.1,10.0.2.2
175,1664056052.866109619,2.368803158,1442,10.0.1.1,10.0.2.2
176,1664056052.876377163,2.379070702,1442,10.0.1.1,10.0.2.2
177,1664056052.888328684,2.391022223,1442,10.0.1.1,10.0.2.2
178,1664056052.900970700,2.403664239,1442,10.0.1.1,10.0.2.2
179,1664056052.914206179,2.416899718,1442,10.0.1.1,10.0.2.2
180,1664056052.926952960,2.429646499,1442,10.0.1.1,10.0.2.2
181,1664056052.938985402,2.441678941,1442,10.0.1.1,10.0.2.2
182,1664056052.952037105,2.454730644,1442,10.0.1.1,10.0.2.2
183,1664056052.963513230,2.466206769,1442,10.0.1.1,10.0.2.2
184,1664056052.975866675,2.478560214,1442,10.0.1.1,10.0.2.2
185,1664056052.991259093,2.493952632,1442,10.0.1.1,10.0.2.2
186,1664056053.005468691,2.508162230,1442,10.0.1.1,10.0.2.2
187,1664056053.017317092,2.520010631,1442,10.0.1.1,10.0.2.2
188,1664056053.029777678,2.532471217,1442,10.0.1.1,10.0.2.2
189,1664056053.042277272,2.544970811,1442,10.0.1.1,10.0.2.2
190,1664056053.056823925,2.559517464,1442,10.0.1.1,10.0.2.2
191,1664056053.070067514,2.572761053,1442,10.0.1.1,10.0.2.2
192,1664056053.082228553,2.584922092,1442,10.0.1.1,10.0.2.2
193,1664056053.094294320,2.596987859,1442,10.0.1.1,10.0.2.2
194,1664056053.108563269,2.611256808,1442,10.0.1.1,10.0.2.2
195,1664056053.121762674,2.624456213,1442,10.0.1.1,10.0.2.2
196,1664056053.134043989,2.636737528,1442,10.0.1.1,10.0.2.2
197,1664056053.149522902,2.652216441,1442,10.0.1.1,10.0.2.2
198,1664056053.163062827,2.665756366,1442,10.0.1.1,10.0.2.2
199,1664056053.176095960,2.678789499,1442,10.0.1.1,10.0.2.2
200,1664056053.188578972,2.691272511,1442,10.0.1.1,10.0.2.2
201,1664056053.200794733,2.703488272,1442,10.0.1.1,10.0.2.2
202,1664056053.212597112,2.715290651,1442,10.0.1.1,10.0.2.2
203,1664056053.225025463,2.727719002,1442,10.0.1.1,10.0.2.2
204,1664056053.239117096,2.741810635,1442,10.0.1.1,10.0.2.2
205,1664056053.251484452,2.754177991,1442,10.0.1.1,10.0.2.2
206,1664056053.264446628,2.767140167,1442,10.0.1.1,10.0.2.2
207,1664056053.276476028,2.779169567,1442,10.0.1.1,10.0.2.2
208,1664056053.288821352,2.791514891,1442,10.0.1.1,10.0.2.2
209,1664056053.300948858,2.803642397,1442,10.0.1.1,10.0.2.2
210,1664056053.313428875,2.816122414,1442,10.0.1.1,10.0.2.2
211,1664056053.327593500,2.830287039,1442,10.0.1.1,10.0.2.2
212,1664056053.341130354,2.843823893,1442,10.0.1.1,10.0.2.2
213,1664056053.353164264,2.855857803,1442,10.0.1.1,10.0.2.2
214,1664056053.368645165,2.871338704,1442,10.0.1.1,10.0.2.2
215,1664056053.380969216,2.883662755,1442,10.0.1.1,10.0.2.2
216,1664056053.393798272,2.896491811,1442,10.0.1.1,10.0.2.2
217,1664056053.405683518,2.908377057,1442,10.0.1.1,10.0.2.2
218,1664056053.417974805,2.920668344,1442,10.0.1.1,10.0.2.2
219,1664056053.430962982,2.933656521,1442,10.0.1.1,10.0.2.2
220,1664056053.443486799,2.946180338,1442,10.0.1.1,10.0.2.2
221,1664056053.456947390,2.959640929,1442,10.0.1.1,10.0.2.2
222,1664056053.469870739,2.972564278,1442,10.0.1.1,10.0.2.2
223,1664056053.482376580,2.985070119,1442,10.0.1.1,10.0.2.2
224,1664056053.494994964,2.997688503,1442,10.0.1.1,10.0.2.2
225,1664056053.508874382,3.011567921,1442,10.0.1.1,10.0.2.2
226,1664056053.522424869,3.025118408,1442,10.0.1.1,10.0.2.2
227,1664056053.533564813,3.036258352,1442,10.0.1.1,10.0.2.2
228,1664056053.545992469,3.048686008,1442,10.0.1.1,10.0.2.2
229,1664056053.557773523,3.060467062,1442,10.0.1.1,10.0.2.2
230,1664056053.570522620,3.073216159,1442,10.0.1.1,10.0.2.2
231,1664056053.582711618,3.085405157,1442,10.0.1.1,10.0.2.2
232,1664056053.595203083,3.097896622,1442,10.0.1.1,10.0.2.2
233,1664056053.606588433,3.109281972,1442,10.0.1.1,10.0.2.2
234,1664056053.618971609,3.121665148,1442,10.0.1.1,10.0.2.2
235,1664056053.630567554,3.133261093,1442,10.0.1.1,10.0.2.2
236,1664056053.645850178,3.148543717,1442,10.0.1.1,10.0.2.2
237,1664056053.657916595,3.160610134,1442,10.0.1.1,10.0.2.2
238,1664056053.669826913,3.172520452,1442,10.0.1.1,10.0.2.2
239,1664056053.682414867,3.185108406,1442,10.0.1.1,10.0.2.2
240,1664056053.695775931,3.198469470,1442,10.0.1.1,10.0.2.2
241,1664056053.707948729,3.210642268,1442,10.0.1.1,10.0.2.2
242,1664056053.720110416,3.222803955,1442,10.0.1.1,10.0.2.2
243,1664056053.732939460,3.235632999,1442,10.0.1.1,10.0.2.2
244,1664056053.745334466,3.248028005,1442,10.0.1.1,10.0.2.2
245,1664056053.758136725,3.260830264,1442,10.0.1.1,10.0.2.2
246,1664056053.770185688,3.272879227,1442,10.0.1.1,10.0.2.2
247,1664056053.782336262,3.285029801,1442,10.0.1.1,10.0.2.2
248,1664056053.794455642,3.297149181,1442,10.0.1.1,10.0.2.2
249,1664056053.810045570,3.312739109,1442,10.0.1.1,10.0.2.2
250,1664056053.822603051,3.325296590,1442,10.0.1.1,10.0.2.2
251,1664056053.838586000,3.341279539,1442,10.0.1.1,10.0.2.2
252,1664056053.853688125,3.356381664,1442,10.0.1.1,10.0.2.2
253,1664056053.866270556,3.368964095,1442,10.0.1.1,10.0.2.2
254,1664056053.878705473,3.381399012,1442,10.0.1.1,10.0.2.2
255,1664056053.895500961,3.398194500,1442,10.0.1.1,10.0.2.2
256,1664056053.905782307,3.408475846,1442,10.0.1.1,10.0.2.2
257,1664056053.918138651,3.420832190,1442,10.0.1.1,10.0.2.2
258,1664056053.930113911,3.432807450,1442,10.0.1.1,10.0.2.2
259,1664056053.942126966,3.444820505,1442,10.0.1.1,10.0.2.2
260,1664056053.955153345,3.457846884,1442,10.0.1.1,10.0.2.2
261,1664056053.968676105,3.471369644,1442,10.0.1.1,10.0.2.2
262,1664056053.982547399,3.485240938,1442,10.0.1.1,10.0.2.2
263,1664056053.995882582,3.498576121,1442,10.0.1.1,10.0.2.2
264,1664056054.007426978,3.510120517,1442,10.0.1.1,10.0.2.2
265,1664056054.019583056,3.522276595,1442,10.0.1.1,10.0.2.2
266,1664056054.031488177,3.534181716,1442,10.0.1.1,10.0.2.2
267,1664056054.046378709,3.549072248,1442,10.0.1.1,10.0.2.2
268,1664056054.060891799,3.563585338,1442,10.0.1.1,10.0.2.2
269,1664056054.074010488,3.576704027,1442,10.0.1.1,10.0.2.2
270,1664056054.085656084,3.588349623,1442,10.0.1.1,10.0.2.2
271,1664056054.098554743,3.601248282,1442,10.0.1.1,10.0.2.2
272,1664056054.112943695,3.615637234,1442,10.0.1.1,10.0.2.2
273,1664056054.125344949,3.628038488,1442,10.0.1.1,10.0.2.2
274,1664056054.139648081,3.642341620,1442,10.0.1.1,10.0.2.2
275,1664056054.154843835,3.657537374,1442,10.0.1.1,10.0.2.2
276,1664056054.167297613,3.669991152,1442,10.0.1.1,10.0.2.2
277,1664056054.182049594,3.684743133,1442,10.0.1.1,10.0.2.2
278,1664056054.194549978,3.697243517,1442,10.0.1.1,10.0.2.2
279,1664056054.209824248,3.712517787,1442,10.0.1.1,10.0.2.2
280,1664056054.222119884,3.724813423,1442,10.0.1.1,10.0.2.2
281,1664056054.234201452,3.736894991,1442,10.0.1.1,10.0.2.2
282,1664056054.246270777,3.748964316,1442,10.0.1.1,10.0.2.2
283,1664056054.258433409,3.761126948,1442,10.0.1.1,10.0.2.2
284,1664056054.274954734,3.777648273,1442,10.0.1.1,10.0.2.2
285,1664056054.287125641,3.789819180,1442,10.0.1.1,10.0.2.2
286,1664056054.302783504,3.805477043,1442,10.0.1.1,10.0.2.2
287,1664056054.314978400,3.817671939,1442,10.0.1.1,10.0.2.2
288,1664056054.327494449,3.830187988,1442,10.0.1.1,10.0.2.2
289,1664056054.342422870,3.845116409,1442,10.0.1.1,10.0.2.2
290,1664056054.354270630,3.856964169,1442,10.0.1.1,10.0.2.2
291,1664056054.366800610,3.869494149,1442,10.0.1.1,10.0.2.2
292,1664056054.378858420,3.881551959,1442,10.0.1.1,10.0.2.2
293,1664056054.390576092,3.893269631,1442,10.0.1.1,10.0.2.2
294,1664056054.402675611,3.905369150,1442,10.0.1.1,10.0.2.2
295,1664056054.414586342,3.917279881,1442,10.0.1.1,10.0.2.2
296,1664056054.437333665,3.940027204,1442,10.0.1.1,10.0.2.2
297,1664056054.439639261,3.942332800,1442,10.0.1.1,10.0.2.2
298,1664056054.451203841,3.953897380,1442,10.0.1.1,10.0.2.2
299,1664056054.465980566,3.968674105,1442,10.0.1.1,10.0.2.2
300,1664056054.478648158,3.981341697,1442,10.0.1.1,10.0.2.2
301,1664056054.492179253,3.994872792,1442,10.0.1.1,10.0.2.2
302,1664056060.622645838,10.125339377,1442,10.0.1.1,10.0.2.2
303,1664056060.638923166,10.141616705,1442,10.0.1.1,10.0.2.2
304,1664056060.650165975,10.152859514,1442,10.0.1.1,10.0.2.2
305,1664056060.661759340,10.164452879,1442,10.0.1.1,10.0.2.2
