frame.number,frame.time_epoch,frame.time_relative,frame.len,ip.src,ip.dst
1,1664055959.505218861,0.000000000,1442,10.0.1.1,10.0.2.2
2,1664055959.518173592,0.012954731,1442,10.0.1.1,10.0.2.2
3,1664055959.531233209,0.026014348,1442,10.0.1.1,10.0.2.2
4,1664055959.543288126,0.038069265,1442,10.0.1.1,10.0.2.2
5,1664055959.555328129,0.050109268,1442,10.0.1.1,10.0.2.2
6,1664055959.568688924,0.063470063,1442,10.0.1.1,10.0.2.2
7,1664055959.580768958,0.075550097,1442,10.0.1.1,10.0.2.2
8,1664055959.596157872,0.090939011,1442,10.0.1.1,10.0.2.2
9,1664055959.613366240,0.108147379,1442,10.0.1.1,10.0.2.2
10,1664055959.629294876,0.124076015,1442,10.0.1.1,10.0.2.2
11,1664055959.642420370,0.137201509,1442,10.0.1.1,10.0.2.2
12,1664055959.654426363,0.149207502,1442,10.0.1.1,10.0.2.2
13,1664055959.666891008,0.161672147,1442,10.0.1.1,10.0.2.2
14,1664055959.681875597,0.176656736,1442,10.0.1.1,10.0.2.2
15,1664055959.693898764,0.188679903,1442,10.0.1.1,10.0.2.2
16,1664055959.706080669,0.200861808,1442,10.0.1.1,10.0.2.2
17,1664055959.730773948,0.225555087,1442,10.0.1.1,10.0.2.2
18,1664055959.746728485,0.241509624,1442,10.0.1.1,10.0.2.2
19,1664055959.759806639,0.254587778,1442,10.0.1.1,10.0.2.2
20,1664055959.774213026,0.268994165,1442,10.0.1.1,10.0.2.2
21,1664055959.786285298,0.281066437,1442,10.0.1.1,10.0.2.2
22,1664055959.802465994,0.297247133,1442,10.0.1.1,10.0.2.2
23,1664055959.817608654,0.312389793,1442,10.0.1.1,10.0.2.2
24,1664055959.834837343,0.329618482,1442,10.0.1.1,10.0.2.2
25,1664055959.849222142,0.344003281,1442,10.0.1.1,10.0.2.2
26,1664055959.873201383,0.367982522,1442,10.0.1.1,10.0.2.2
27,1664055959.874787998,0.369569137,1442,10.0.1.1,10.0.2.2
28,1664055959.887322663,0.382103802,1442,10.0.1.1,10.0.2.2
29,1664055959.899424768,0.394205907,1442,10.0.1.1,10.0.2.2
30,1664055959.911401820,0.406182959,1442,10.0.1.1,10.0.2.2
31,1664055959.926016085,0.420797224,1442,10.0.1.1,10.0.2.2
32,1664055959.938608448,0.433389587,1442,10.0.1.1,10.0.2.2
33,1664055959.950886665,0.445667804,1442,10.0.1.1,10.0.2.2
34,1664055959.962705798,0.457486937,1442,10.0.1.1,10.0.2.2
35,1664055959.974913225,0.469694364,1442,10.0.1.1,10.0.2.2
36,1664055959.987058440,0.481839579,1442,10.0.1.1,10.0.2.2
37,1664055959.999100372,0.493881511,1442,10.0.1.1,10.0.2.2
38,1664055960.067554783,0.562335922,1442,10.0.1.1,10.0.2.2
39,1664055960.079941712,0.574722851,1442,10.0.1.1,10.0.2.2
40,1664055960.092684308,0.587465447,1442,10.0.1.1,10.0.2.2
41,1664055960.119657335,0.614438474,1442,10.0.1.1,10.0.2.2
42,1664055960.135452279,0.630233418,1442,10.0.1.1,10.0.2.2
43,1664055960.149776017,0.644557156,1442,10.0.1.1,10.0.2.2
44,1664055960.168529167,0.663310306,1442,10.0.1.1,10.0.2.2
45,1664055960.180928800,0.675709939,1442,10.0.1.1,10.0.2.2
46,1664055960.197443332,0.692224471,1442,10.0.1.1,10.0.2.2
47,1664055960.210744193,0.705525332,1442,10.0.1.1,10.0.2.2
48,1664055960.224515057,0.719296196,1442,10.0.1.1,10.0.2.2
49,1664055960.239778920,0.734560059,1442,10.0.1.1,10.0.2.2
50,1664055960.254998274,0.749779413,1442,10.0.1.1,10.0.2.2
51,1664055960.265891831,0.760672970,1442,10.0.1.1,10.0.2.2
52,1664055960.279038485,0.773819624,1442,10.0.1.1,10.0.2.2
53,1664055960.290364454,0.785145593,1442,10.0.1.1,10.0.2.2
54,1664055960.304857856,0.799638995,1442,10.0.1.1,10.0.2.2
55,1664055960.317656958,0.812438097,1442,10.0.1.1,10.0.2.2
56,1664055960.330559016,0.825340155,1442,10.0.1.1,10.0.2.2
57,1664055960.342357599,0.837138738,1442,10.0.1.1,10.0.2.2
58,1664055960.354603586,0.849384725,1442,10.0.1.1,10.0.2.2
59,1664055960.366631657,0.861412796,1442,10.0.1.1,10.0.2.2
60,1664055960.380240868,0.875022007,1442,10.0.1.1,10.0.2.2
61,1664055960.393786432,0.888567571,1442,10.0.1.1,10.0.2.2
62,1664055960.405838833,0.900619972,1442,10.0.1.1,10.0.2.2
63,1664055960.418449546,0.913230685,1442,10.0.1.1,10.0.2.2
64,1664055960.430390709,0.925171848,1442,10.0.1.1,10.0.2.2
65,1664055960.443024572,0.937805711,1442,10.0.1.1,10.0.2.2
66,1664055960.455323381,0.950104520,1442,10.0.1.1,10.0.2.2
67,1664055960.467255087,0.962036226,1442,10.0.1.1,10.0.2.2
68,1664055960.481723795,0.976504934,1442,10.0.1.1,10.0.2.2
69,1664055960.494015865,0.988797004,1442,10.0.1.1,10.0.2.2
70,1664055960.506591089,1.001372228,1442,10.0.1.1,10.0.2.2
71,1664055960.520224201,1.015005340,1442,10.0.1.1,10.0.2.2
72,1664055960.531868381,1.026649520,1442,10.0.1.1,10.0.2.2
73,1664055960.546723215,1.041504354,1442,10.0.1.1,10.0.2.2
74,1664055960.559083095,1.053864234,1442,10.0.1.1,10.0.2.2
75,1664055960.571475395,1.066256534,1442,10.0.1.1,10.0.2.2
76,1664055960.583777479,1.078558618,1442,10.0.1.1,10.0.2.2
77,1664055960.595624024,1.090405163,1442,10.0.1.1,10.0.2.2
78,1664055960.610374769,1.105155908,1442,10.0.1.1,10.0.2.2
79,1664055960.623629567,1.118410706,1442,10.0.1.1,10.0.2.2
80,1664055960.638455252,1.133236391,1442,10.0.1.1,10.0.2.2
81,1664055960.650575598,1.145356737,1442,10.0.1.1,10.0.2.2
82,1664055960.663255724,1.158036863,1442,10.0.1.1,10.0.2.2
83,1664055960.675705563,1.170486702,1442,10.0.1.1,10.0.2.2
84,1664055960.690218782,1.184999921,1442,10.0.1.1,10.0.2.2
85,1664055960.703561904,1.198343043,1442,10.0.1.1,10.0.2.2
86,1664055960.715703489,1.210484628,1442,10.0.1.1,10.0.2.2
87,1664055960.728472099,1.223253238,1442,10.0.1.1,10.0.2.2
88,1664055960.741338696,1.236119835,1442,10.0.1.1,10.0.2.2
89,1664055960.756049499,1.250830638,1442,10.0.1.1,10.0.2.2
90,1664055960.768810105,1.263591244,1442,10.0.1.1,10.0.2.2
91,1664055960.780593450,1.275374589,1442,10.0.1.1,10.0.2.2
92,1664055960.792423836,1.287204975,1442,10.0.1.1,10.0.2.2
93,1664055960.804613189,1.299394328,1442,10.0.1.1,10.0.2.2
94,1664055960.816567014,1.311348153,1442,10.0.1.1,10.0.2.2
95,1664055960.828773527,1.323554666,1442,10.0.1.1,10.0.2.2
96,1664055960.840993708,1.335774847,1442,10.0.1.1,10.0.2.2
97,1664055960.852806268,1.347587407,1442,10.0.1.1,10.0.2.2
