frame.number,frame.time_epoch,frame.time_relative,frame.len,ip.src,ip.dst
1,1664055776.671287646,0.000000000,1442,10.0.1.1,10.0.2.2
2,1664055776.685032462,0.013744816,1442,10.0.1.1,10.0.2.2
3,1664055776.698101643,0.026813997,1442,10.0.1.1,10.0.2.2
4,1664055776.710067404,0.038779758,1442,10.0.1.1,10.0.2.2
5,1664055776.722086416,0.050798770,1442,10.0.1.1,10.0.2.2
6,1664055776.735730833,0.064443187,1442,10.0.1.1,10.0.2.2
7,1664055776.747386203,0.076098557,1442,10.0.1.1,10.0.2.2
8,1664055776.763122139,0.091834493,1442,10.0.1.1,10.0.2.2
9,1664055776.779897055,0.108609409,1442,10.0.1.1,10.0.2.2
10,1664055776.796064407,0.124776761,1442,10.0.1.1,10.0.2.2
11,1664055776.807857217,0.136569571,1442,10.0.1.1,10.0.2.2
12,1664055776.820680946,0.149393300,1442,10.0.1.1,10.0.2.2
13,1664055776.833010633,0.161722987,1442,10.0.1.1,10.0.2.2
14,1664055776.848046355,0.176758709,1442,10.0.1.1,10.0.2.2
15,1664055776.860304117,0.189016471,1442,10.0.1.1,10.0.2.2
16,1664055776.872520680,0.201233034,1442,10.0.1.1,10.0.2.2
17,1664055776.896988032,0.225700386,1442,10.0.1.1,10.0.2.2
18,1664055776.912987815,0.241700169,1442,10.0.1.1,10.0.2.2
19,1664055776.925992085,0.254704439,1442,10.0.1.1,10.0.2.2
20,1664055776.940972626,0.269684980,1442,10.0.1.1,10.0.2.2
21,1664055776.952902651,0.281615005,1442,10.0.1.1,10.0.2.2
22,1664055776.969665904,0.298378258,1442,10.0.1.1,10.0.2.2
23,1664055776.984202380,0.312914734,1442,10.0.1.1,10.0.2.2
24,1664055777.001467517,0.330179871,1442,10.0.1.1,10.0.2.2
25,1664055777.015923872,0.344636226,1442,10.0.1.1,10.0.2.2
26,1664055777.028896304,0.357608658,1442,10.0.1.1,10.0.2.2
27,1664055777.041935444,0.370647798,1442,10.0.1.1,10.0.2.2
28,1664055777.054458015,0.383170369,1442,10.0.1.1,10.0.2.2
29,1664055777.068179985,0.396892339,1442,10.0.1.1,10.0.2.2
30,1664055777.079705249,0.408417603,1442,10.0.1.1,10.0.2.2
31,1664055777.093585097,0.422297451,1442,10.0.1.1,10.0.2.2
32,1664055777.106738876,0.435451230,1442,10.0.1.1,10.0.2.2
33,1664055777.118446014,0.447158368,1442,10.0.1.1,10.0.2.2
34,1664055777.130735077,0.459447431,1442,10.0.1.1,10.0.2.2
35,1664055777.142626692,0.471339046,1442,10.0.1.1,10.0.2.2
36,1664055777.154619940,0.483332294,1442,10.0.1.1,10.0.2.2
37,1664055777.166924359,0.495636713,1442,10.0.1.1,10.0.2.2
