frame.number,frame.time_epoch,frame.time_relative,frame.len
1,1661378141.260162843,0.000000000,1442
2,1661378141.263952394,0.003789551,1442
3,1661378141.272865391,0.012702548,1442
4,1661378141.275155597,0.014992754,1442
5,1661378141.278830992,0.018668149,1442
6,1661378141.286842773,0.026679930,1442
7,1661378141.292716026,0.032553183,1442
8,1661378141.297827097,0.037664254,1442
9,1661378141.302671622,0.042508779,1442
10,1661378141.309553009,0.049390166,1442
11,1661378141.313357997,0.053195154,1442
12,1661378141.319614627,0.059451784,1442
13,1661378141.322808111,0.062645268,1442
14,1661378141.329999732,0.069836889,1442
15,1661378141.333730322,0.073567479,1442
16,1661378141.340845397,0.080682554,1442
17,1661378141.345503327,0.085340484,1442
18,1661378141.348283681,0.088120838,1442
19,1661378141.353608324,0.093445481,1442
20,1661378141.357561684,0.097398841,1442
21,1661378141.359058762,0.098895919,1442
22,1661378141.360753016,0.100590173,1442
23,1661378141.363555549,0.103392706,1442
24,1661378141.366137694,0.105974851,1442
25,1661378141.368412851,0.108250008,1442
26,1661378141.371067793,0.110904950,1442
27,1661378141.373361787,0.113198944,1442
28,1661378141.376378639,0.116215796,1442
29,1661378141.379507273,0.119344430,1442
30,1661378141.382593920,0.122431077,1442
31,1661378141.387104894,0.126942051,1442
32,1661378141.390341963,0.130179120,1442
33,1661378141.393486694,0.133323851,1442
34,1661378141.396598899,0.136436056,1442
35,1661378141.400366040,0.140203197,1442
36,1661378141.402875429,0.142712586,1442
37,1661378141.405545160,0.145382317,1442
38,1661378141.408171302,0.148008459,1442
39,1661378141.410911290,0.150748447,1442
40,1661378141.413609293,0.153446450,1442
41,1661378141.416283693,0.156120850,1442
42,1661378141.418939791,0.158776948,1442
43,1661378141.421652964,0.161490121,1442
44,1661378141.424342569,0.164179726,1442
45,1661378141.427097301,0.166934458,1442
46,1661378141.429670328,0.169507485,1442
47,1661378141.432366194,0.172203351,1442
48,1661378141.435120189,0.174957346,1442
49,1661378141.437862317,0.177699474,1442
50,1661378141.440643012,0.180480169,1442
51,1661378141.443563799,0.183400956,1442
52,1661378141.446168874,0.186006031,1442
53,1661378141.448856038,0.188693195,1442
54,1661378141.451608467,0.191445624,1442
55,1661378141.454971002,0.194808159,1442
56,1661378141.458267018,0.198104175,1442
57,1661378141.460143304,0.199980461,1442
58,1661378141.462650467,0.202487624,1442
59,1661378141.465323559,0.205160716,1442
60,1661378141.468025430,0.207862587,1442
61,1661378141.470707498,0.210544655,1442
62,1661378141.473334741,0.213171898,1442
63,1661378141.475894605,0.215731762,1442
64,1661378141.478679625,0.218516782,1442
65,1661378141.481416212,0.221253369,1442
66,1661378141.484123160,0.223960317,1442
67,1661378141.486201408,0.226038565,1442
68,1661378141.489765622,0.229602779,1442
69,1661378141.492539646,0.232376803,1442
70,1661378141.495257474,0.235094631,1442
71,1661378141.497979503,0.237816660,1442
72,1661378141.500797641,0.240634798,1442
73,1661378141.504899127,0.244736284,1442
74,1661378141.507453088,0.247290245,1442
75,1661378141.510076204,0.249913361,1442
76,1661378141.512840998,0.252678155,1442
77,1661378141.515534794,0.255371951,1442
78,1661378141.518420293,0.258257450,1442
79,1661378141.520930498,0.260767655,1442
80,1661378141.523633294,0.263470451,1442
81,1661378141.526291147,0.266128304,1442
82,1661378141.529087711,0.268924868,1442
83,1661378141.531775046,0.271612203,1442
84,1661378141.534442661,0.274279818,1442
85,1661378141.537185327,0.277022484,1442
86,1661378141.539948118,0.279785275,1442
87,1661378141.542504583,0.282341740,1442
88,1661378141.545186057,0.285023214,1442
89,1661378141.547886064,0.287723221,1442
90,1661378141.550650459,0.290487616,1442
91,1661378141.553098867,0.292936024,1442
92,1661378141.555815031,0.295652188,1442
93,1661378141.558482908,0.298320065,1442
94,1661378141.561179817,0.301016974,1442
95,1661378141.564144038,0.303981195,1442
96,1661378141.566862204,0.306699361,1442
97,1661378141.569464616,0.309301773,1442
98,1661378141.572163492,0.312000649,1442
99,1661378141.574829777,0.314666934,1442
100,1661378141.577474729,0.317311886,1442
101,1661378141.580147937,0.319985094,1442
102,1661378141.582926854,0.322764011,1442
103,1661378141.585574932,0.325412089,1442
104,1661378141.588230744,0.328067901,1442
105,1661378141.591012438,0.330849595,1442
106,1661378141.593560231,0.333397388,1442
107,1661378141.596768357,0.336605514,1442
108,1661378141.599368835,0.339205992,1442
109,1661378141.601840628,0.341677785,1442
110,1661378141.604207167,0.344044324,1442
111,1661378141.608470680,0.348307837,1442
112,1661378141.610928516,0.350765673,1442
113,1661378141.614080660,0.353917817,1442
114,1661378141.616502295,0.356339452,1442
115,1661378141.619063619,0.358900776,1442
116,1661378141.621642855,0.361480012,1442
117,1661378141.624432615,0.364269772,1442
118,1661378141.627356070,0.367193227,1442
119,1661378141.630612179,0.370449336,1442
120,1661378141.633087865,0.372925022,1442
121,1661378141.635774066,0.375611223,1442
122,1661378141.638655714,0.378492871,1442
123,1661378141.641434487,0.381271644,1442
124,1661378141.644166740,0.384003897,1442
125,1661378141.646979266,0.386816423,1442
126,1661378141.649629331,0.389466488,1442
127,1661378141.652380185,0.392217342,1442
128,1661378141.655260833,0.395097990,1442
129,1661378141.657967397,0.397804554,1442
130,1661378141.660776727,0.400613884,1442
131,1661378141.663608463,0.403445620,1442
132,1661378141.666338952,0.406176109,1442
133,1661378141.669140204,0.408977361,1442
134,1661378141.671822149,0.411659306,1442
135,1661378141.674862639,0.414699796,1442
136,1661378141.677589562,0.417426719,1442
137,1661378141.680179446,0.420016603,1442
138,1661378141.683065469,0.422902626,1442
139,1661378141.685810954,0.425648111,1442
140,1661378141.688506957,0.428344114,1442
141,1661378141.691948555,0.431785712,1442
142,1661378141.695881284,0.435718441,1442
143,1661378141.699419424,0.439256581,1442
144,1661378141.703087012,0.442924169,1442
145,1661378141.705860633,0.445697790,1442
146,1661378141.708511540,0.448348697,1442
147,1661378141.711358419,0.451195576,1442
148,1661378141.714168821,0.454005978,1442
149,1661378141.716770169,0.456607326,1442
150,1661378141.719597572,0.459434729,1442
151,1661378141.722276728,0.462113885,1442
152,1661378141.724897376,0.464734533,1442
153,1661378141.727597264,0.467434421,1442
154,1661378141.730259267,0.470096424,1442
155,1661378141.732980721,0.472817878,1442
156,1661378141.735702461,0.475539618,1442
157,1661378141.738337775,0.478174932,1442
158,1661378141.741074585,0.480911742,1442
159,1661378141.743688509,0.483525666,1442
160,1661378141.746429739,0.486266896,1442
161,1661378141.749102681,0.488939838,1442
162,1661378141.752128890,0.491966047,1442
163,1661378141.755056326,0.494893483,1442
164,1661378141.757926263,0.497763420,1442
165,1661378141.760814230,0.500651387,1442
166,1661378141.763684192,0.503521349,1442
167,1661378141.766286537,0.506123694,1442
168,1661378141.769006036,0.508843193,1442
169,1661378141.771744450,0.511581607,1442
170,1661378141.774233731,0.514070888,1442
171,1661378141.777001587,0.516838744,1442
172,1661378141.779766736,0.519603893,1442
173,1661378141.782250516,0.522087673,1442
174,1661378141.784981547,0.524818704,1442
175,1661378141.787668270,0.527505427,1442
176,1661378141.790355812,0.530192969,1442
177,1661378141.793087101,0.532924258,1442
178,1661378141.795810301,0.535647458,1442
179,1661378141.798685431,0.538522588,1442
180,1661378141.801489065,0.541326222,1442
181,1661378141.804118886,0.543956043,1442
