frame.number,frame.time_epoch,frame.time_relative,frame.len
1,1661378936.491284794,0.000000000,1442
2,1661378936.493274552,0.001989758,1442
3,1661378936.496334589,0.005049795,1442
4,1661378936.500533992,0.009249198,1442
5,1661378936.504097273,0.012812479,1442
6,1661378936.507897138,0.016612344,1442
7,1661378936.511647828,0.020363034,1442
8,1661378936.515022921,0.023738127,1442
9,1661378936.518573128,0.027288334,1442
10,1661378936.521933729,0.030648935,1442
11,1661378936.525293404,0.034008610,1442
12,1661378936.528613937,0.037329143,1442
13,1661378936.532004109,0.040719315,1442
14,1661378936.535421948,0.044137154,1442
15,1661378936.538837881,0.047553087,1442
16,1661378936.542207367,0.050922573,1442
17,1661378936.545574934,0.054290140,1442
18,1661378936.548843870,0.057559076,1442
19,1661378936.552239152,0.060954358,1442
20,1661378936.555636143,0.064351349,1442
21,1661378936.558821092,0.067536298,1442
22,1661378936.562098608,0.070813814,1442
23,1661378936.565379765,0.074094971,1442
24,1661378936.568425339,0.077140545,1442
25,1661378936.572248453,0.080963659,1442
26,1661378936.575974000,0.084689206,1442
27,1661378936.580076109,0.088791315,1442
28,1661378936.583493181,0.092208387,1442
29,1661378936.586895480,0.095610686,1442
30,1661378936.591189699,0.099904905,1442
31,1661378936.593601778,0.102316984,1442
32,1661378936.596882903,0.105598109,1442
33,1661378936.600192416,0.108907622,1442
34,1661378936.603387144,0.112102350,1442
35,1661378936.607234289,0.115949495,1442
36,1661378936.611113850,0.119829056,1442
37,1661378936.614995331,0.123710537,1442
38,1661378936.636956505,0.145671711,1442
39,1661378936.640312534,0.149027740,1442
40,1661378936.643287784,0.152002990,1442
41,1661378936.646516259,0.155231465,1442
42,1661378936.649557089,0.158272295,1442
43,1661378936.652651255,0.161366461,1442
44,1661378936.655538409,0.164253615,1442
45,1661378936.658065429,0.166780635,1442
46,1661378936.661037378,0.169752584,1442
47,1661378936.661880011,0.170595217,1442
48,1661378936.663928587,0.172643793,1442
49,1661378936.666643442,0.175358648,1442
50,1661378936.669478333,0.178193539,1442
51,1661378936.672299204,0.181014410,1442
52,1661378936.674904158,0.183619364,1442
53,1661378936.677672339,0.186387545,1442
54,1661378936.680551301,0.189266507,1442
55,1661378936.683392820,0.192108026,1442
56,1661378936.686142545,0.194857751,1442
57,1661378936.688874923,0.197590129,1442
58,1661378936.691828623,0.200543829,1442
59,1661378936.694622397,0.203337603,1442
60,1661378936.697387369,0.206102575,1442
61,1661378936.700087318,0.208802524,1442
62,1661378936.702837201,0.211552407,1442
63,1661378936.705495762,0.214210968,1442
64,1661378936.708152999,0.216868205,1442
65,1661378936.711004015,0.219719221,1442
66,1661378936.713760729,0.222475935,1442
67,1661378936.716385621,0.225100827,1442
68,1661378936.719199932,0.227915138,1442
69,1661378936.721923666,0.230638872,1442
70,1661378936.724586888,0.233302094,1442
71,1661378936.727381657,0.236096863,1442
72,1661378936.731475692,0.240190898,1442
73,1661378936.734262944,0.242978150,1442
74,1661378936.736814656,0.245529862,1442
75,1661378936.739591482,0.248306688,1442
76,1661378936.742391821,0.251107027,1442
77,1661378936.745100812,0.253816018,1442
78,1661378936.748256213,0.256971419,1442
79,1661378936.750965466,0.259680672,1442
80,1661378936.753644245,0.262359451,1442
