sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count
dynamic,1,1.0,60.0,16,0.027315889517762783,532
sINT,1,1.0,60.0,21,0.056133108258895156,722
static,1,1.0,60.0,61,0.014271406775042308,2242
dynamic,1,1.0,60.0,16,0.03178608167005054,532
sINT,1,1.0,60.0,21,0.043448788522028006,722
static,1,1.0,60.0,61,0.0472233484571392,2242
dynamic,1,1.0,60.0,17,0.025479683850075655,570
sINT,1,1.0,60.0,21,0.046548203044161865,722
static,1,1.0,60.0,61,0.014241642863704829,2242
dynamic,1,1.0,60.0,18,0.027403894808861733,608
sINT,1,1.0,60.0,21,0.05075797083398397,722
static,1,1.0,60.0,61,0.019223001947359028,2242
dynamic,1,1.0,60.0,16,0.022343864653599044,532
sINT,1,1.0,60.0,21,0.039143211463018364,722
static,1,1.0,60.0,61,0.011984010252669007,2242
dynamic,1,2.0,60.0,13,0.04195024295117541,418
sINT,1,2.0,60.0,20,0.036858112017914786,684
static,1,2.0,60.0,61,0.011569917830719038,2242
