sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count
sINT,1,1.0,60.0,40,0.12843527231690405,1444
static,1,1.0,60.0,58,0.2353414413185752,2128
dynamicV2,1,1.0,60.0,34,0.214534278151251,1216
dynamicV1,1,1.0,60.0,37,0.17456227465529608,1160
sINT,1,1.0,60.0,39,0.2625620034387911,1406
static,1,1.0,60.0,58,0.13338677120986367,2128
dynamicV2,1,1.0,60.0,21,0.228415353248728,722
dynamicV1,1,1.0,60.0,32,0.2443462459607782,1055
sINT,1,1.0,60.0,39,0.1864342971238477,1406
static,1,1.0,60.0,58,0.14209721416448515,2128
dynamicV2,1,1.0,60.0,32,0.14913022779018054,1140
dynamicV1,1,1.0,60.0,33,0.22941723442513334,1144
sINT,1,1.0,60.0,38,0.20413922324767658,1368
static,1,1.0,60.0,58,0.12686014413807412,2128
dynamicV2,1,1.0,60.0,27,0.1984656330370902,950
dynamicV1,1,1.0,60.0,24,0.11383097547551625,836
sINT,1,1.0,60.0,39,0.20160792299591979,1406
static,1,1.0,60.0,57,0.15735966622950473,2090
dynamicV2,1,1.0,60.0,31,0.1217094492027081,1102
dynamicV1,1,1.0,60.0,32,0.14543447489477765,1140
