sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count,telemetry_percentage,jitter
DINT-200,2,0.25,60.0,82,0.14880038240502416,5452,0.00044903324427342597,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-250,2,0.25,60.0,72,0.13855747377275276,4707,0.00038831981515085814,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-125,2,0.25,60.0,119,0.12120539849141211,7720,0.0006348482687967307,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-150,2,0.25,60.0,105,0.128618203771539,6522,0.0005364588876892637,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-200,2,0.25,60.0,86,0.14088639711947956,5816,0.00047924038750573505,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-250,2,0.25,60.0,75,0.14104379085977337,4820,0.0003976421306622342,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-125,2,0.25,60.0,124,0.0962915224685143,7741,0.0006385438988413163,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-150,2,0.25,60.0,103,0.13916932909382473,6628,0.0005462792842125946,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-200,2,0.25,60.0,91,0.145486472892161,5553,0.0004568091964008075,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-250,2,0.25,60.0,70,0.26339297690054164,4416,0.0003633618076460013,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-125,2,0.25,60.0,124,0.11942549944078627,7896,0.0006510972836313681,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-150,2,0.25,60.0,106,0.11911761861525302,6695,0.0005508194498584818,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-200,2,0.25,60.0,85,0.12675078905930387,5665,0.0004674088552732217,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-250,2,0.25,60.0,65,0.131584140353539,4452,0.0003696131498595354,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-125,2,0.25,60.0,129,0.12701137662812273,8125,0.0006698211326135374,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-150,2,0.25,60.0,106,0.11388953340648661,6762,0.0005581195415793281,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-200,2,0.25,60.0,92,0.22453738892031944,5828,0.000480514668477034,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-250,2,0.25,60.0,75,0.2524726093551973,4793,0.0003949448379152318,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-125,2,0.25,60.0,129,0.11191006098459437,8018,0.0006603720749421,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-150,2,0.25,60.0,110,0.11277609406187009,6654,0.0005478362116277948,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-200,2,0.5,60.0,61,0.14249867288455173,3501,0.00028868941109339155,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-250,2,0.5,60.0,54,0.22884503970502754,3247,0.0002677447922936996,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-125,2,0.5,60.0,74,0.14628199387089963,4585,0.0003773571861482835,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-150,2,0.5,60.0,71,0.12055686804003925,3939,0.00032554197904729505,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-200,2,0.5,60.0,65,0.1438631170576299,3210,0.00026466233455924487,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-250,2,0.5,60.0,59,0.23886114488435511,3435,0.00028388847373126644,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-125,2,0.5,60.0,77,0.13975770543186997,4639,0.00038234604699188693,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-150,2,0.5,60.0,72,0.1201801062944519,3985,0.00032836536179682845,"{'h1': 0, 'h3': 0, 'h4': 0}"
