sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count,jitter
DINT,2,0.25,60.0,126,0.11923051585099394,7902,"{'h3': 1.0264394840518176, 'h1': 0.7885730374182239, 'h4': 1.1391729509314126}"
LINT,2,0.25,60.0,212,0.10391589093442329,13472,"{'h3': 1.3425253922349754, 'h1': 0.9389886765207426, 'h4': 1.2286066335473356}"
sINT,2,0.25,60.0,64,0.22783538537184395,2852,"{'h1': 0.4476476815662747, 'h4': 0.7647731658878074, 'h3': 0.475881375853305}"
static,2,0.25,60.0,212,0.10514072044459744,13526,"{'h4': 1.070739185742739, 'h3': 0.6434679944853217, 'h1': 0.6029981906818173}"
DINT,2,0.25,60.0,130,0.11631603947683404,8089,"{'h3': 1.0950174649275406, 'h1': 0.801446445009773, 'h4': 1.490610692011659}"
LINT,2,0.25,60.0,212,0.09235240315335214,13405,"{'h3': 1.168458046478892, 'h1': 0.8739237799687515, 'h4': 1.1316470507174563}"
sINT,2,0.25,60.0,64,0.2373798290216731,2852,"{'h1': 0.6592632416138797, 'h4': 0.9890978843703332, 'h3': 0.698934991276092}"
static,2,0.25,60.0,212,0.1030395175335444,13401,"{'h4': 0.844785049136749, 'h3': 0.8172797060560906, 'h1': 0.6722508366392512}"
DINT,2,0.25,60.0,129,0.12065941644424054,8098,"{'h3': 0.7909564820145422, 'h1': 0.7340100368740805, 'h4': 1.2326821993524297}"
LINT,2,0.25,60.0,212,0.09665058884776234,13514,"{'h3': 1.2222104391586524, 'h1': 0.9374695053789298, 'h4': 1.2689608863069064}"
sINT,2,0.25,60.0,64,0.22801208249914423,2852,"{'h1': 0.6782931454083625, 'h4': 0.8391525785801773, 'h3': 0.689779240017685}"
static,2,0.25,60.0,213,0.1009443164771497,13366,"{'h4': 0.6757123771135866, 'h3': 0.7303817905298982, 'h1': 0.5912921851951117}"
DINT,2,0.5,60.0,80,0.11563275270429606,4656,"{'h3': 0.9381519528992437, 'h1': 0.7941756946751203, 'h4': 1.1028644055296473}"
LINT,2,0.5,60.0,108,0.12060593623928963,6906,"{'h3': 1.2608346705797884, 'h1': 0.9766844593534019, 'h4': 1.3890291113413435}"
sINT,2,0.5,60.0,64,0.21706548863985708,2852,"{'h1': 0.6968882401943686, 'h4': 1.2215553254955458, 'h3': 0.7170277501923336}"
static,2,0.5,60.0,108,0.11455667807291474,6889,"{'h4': 0.7116179457267574, 'h3': 0.5272310320480081, 'h1': 0.5679058813403101}"
DINT,2,0.5,60.0,78,0.12508664152359728,4506,"{'h3': 0.9125016131233825, 'h1': 0.7286594289475483, 'h4': 1.3191358742291868}"
LINT,2,0.5,60.0,108,0.1064576261601966,6881,"{'h3': 1.2815692872379931, 'h1': 1.0727822122985167, 'h4': 1.746787189763818}"
sINT,2,0.5,60.0,64,0.20851687230468968,2852,"{'h1': 0.5807982404588339, 'h4': 0.9212597166302064, 'h3': 0.5857116734071569}"
static,2,0.5,60.0,108,0.09984525406032942,6856,"{'h4': 1.1876859682876961, 'h3': 0.56933878868546, 'h1': 0.6254573643147766}"
