sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count,jitter
dynamic,2,2.0,60.0,22,0.28718921338701403,1292,"{'h3': 1.1841978887664228, 'h4': 1.596573606947272, 'h1': 0.9115199626627991}"
sINT,2,2.0,60.0,64,0.18389546431203108,2852,"{'h1': 0.7305248092146311, 'h4': 1.0471718908478762, 'h3': 0.952426782231959}"
static,2,2.0,60.0,28,0.2707330584112517,1697,"{'h4': 1.1461575826009114, 'h3': 0.7595607674371307, 'h1': 0.7460036631692256}"
dynamic,2,1.0,60.0,43,0.17514036306109018,2651,"{'h3': 1.056689482468825, 'h4': 1.0158485836452906, 'h1': 0.682219758315933}"
sINT,2,1.0,60.0,64,0.18110384028335028,2852,"{'h1': 0.5835805278843121, 'h4': 0.9969850044466008, 'h3': 0.6450559057881619}"
static,2,1.0,60.0,55,0.16686164311498508,3359,"{'h4': 0.7179295275844424, 'h3': 0.5342050389909057, 'h1': 0.5441226117469841}"
dynamic,2,0.5,60.0,71,0.14480211271857593,4060,"{'h3': 1.1787517141740722, 'h4': 1.2752259967466308, 'h1': 0.9701411606913942}"
sINT,2,0.5,60.0,64,0.2121668827808569,2852,"{'h1': 0.64891313717382, 'h4': 1.1982165711972224, 'h3': 0.7668854106045246}"
static,2,0.5,60.0,108,0.1254600629319883,6877,"{'h4': 0.937763131495474, 'h3': 0.6330625307514294, 'h1': 0.643194797883182}"
dynamic,2,0.25,60.0,106,0.12206792787763265,6738,"{'h3': 0.9086441930472376, 'h4': 1.1558355360156847, 'h1': 0.7732627743345086}"
sINT,2,0.25,60.0,64,0.22793109369543602,2852,"{'h1': 0.6336448424558343, 'h4': 1.0971971375345062, 'h3': 0.6493328245136544}"
static,2,0.25,60.0,213,0.10047653761234876,13438,"{'h4': 0.9913655548670421, 'h3': 0.6222618810202286, 'h1': 0.693650817201513}"
dynamic,2,0.25,60.0,103,0.13087089359594842,6416,"{'h3': 1.0440159153172375, 'h4': 1.4917590074844504, 'h1': 0.8948350861414505}"
sINT,2,0.25,60.0,64,0.23387580583439166,2852,"{'h1': 0.48976215938388284, 'h4': 1.019189586747164, 'h3': 0.5795341517557762}"
static,2,0.25,60.0,212,0.10321117060636059,13325,"{'h4': 1.0732971342269984, 'h3': 0.8765260554189146, 'h1': 0.7946077536197459}"
