sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count,jitter
dynamic,2,2.0,60.0,22,0.28718921338701403,1292,"{'h3': 1.1841978887664228, 'h4': 1.596573606947272, 'h1': 0.9115199626627991}"
sINT,2,2.0,60.0,64,0.18389546431203108,2852,"{'h1': 0.7305248092146311, 'h4': 1.0471718908478762, 'h3': 0.952426782231959}"
static,2,2.0,60.0,28,0.2707330584112517,1697,"{'h4': 1.1461575826009114, 'h3': 0.7595607674371307, 'h1': 0.7460036631692256}"
dynamic,2,1.0,60.0,43,0.17514036306109018,2651,"{'h3': 1.056689482468825, 'h4': 1.0158485836452906, 'h1': 0.682219758315933}"
sINT,2,1.0,60.0,64,0.18110384028335028,2852,"{'h1': 0.5835805278843121, 'h4': 0.9969850044466008, 'h3': 0.6450559057881619}"
static,2,1.0,60.0,55,0.16686164311498508,3359,"{'h4': 0.7179295275844424, 'h3': 0.5342050389909057, 'h1': 0.5441226117469841}"
dynamic,2,0.5,60.0,71,0.14480211271857593,4060,"{'h3': 1.1787517141740722, 'h4': 1.2752259967466308, 'h1': 0.9701411606913942}"
sINT,2,0.5,60.0,64,0.2121668827808569,2852,"{'h1': 0.64891313717382, 'h4': 1.1982165711972224, 'h3': 0.7668854106045246}"
static,2,0.5,60.0,108,0.1254600629319883,6877,"{'h4': 0.937763131495474, 'h3': 0.6330625307514294, 'h1': 0.643194797883182}"
dynamic,2,0.25,60.0,106,0.12206792787763265,6738,"{'h3': 0.9086441930472376, 'h4': 1.1558355360156847, 'h1': 0.7732627743345086}"
sINT,2,0.25,60.0,64,0.22793109369543602,2852,"{'h1': 0.6336448424558343, 'h4': 1.0971971375345062, 'h3': 0.6493328245136544}"
static,2,0.25,60.0,213,0.10047653761234876,13438,"{'h4': 0.9913655548670421, 'h3': 0.6222618810202286, 'h1': 0.693650817201513}"
dynamic,2,0.25,60.0,103,0.13087089359594842,6416,"{'h3': 1.0440159153172375, 'h4': 1.4917590074844504, 'h1': 0.8948350861414505}"
sINT,2,0.25,60.0,64,0.23387580583439166,2852,"{'h1': 0.48976215938388284, 'h4': 1.019189586747164, 'h3': 0.5795341517557762}"
static,2,0.25,60.0,212,0.10321117060636059,13325,"{'h4': 1.0732971342269984, 'h3': 0.8765260554189146, 'h1': 0.7946077536197459}"
dynamic,2,0.25,60.0,104,0.13220928971778764,6432,"{'h3': 0.874250292813149, 'h4': 0.9913217774443258, 'h1': 0.8063356400492676}"
sINT,2,0.25,60.0,64,0.229582989286509,2852,"{'h1': 0.8136573263491647, 'h4': 0.8895718220712551, 'h3': 0.7254226419239174}"
static,2,0.25,60.0,213,0.11252871983615068,13416,"{'h4': 1.9471703725121565, 'h3': 0.9732831729537015, 'h1': 1.0705351709960815}"
dynamic,2,0.25,60.0,99,0.1355220240087352,6307,"{'h3': 0.8126882687452582, 'h4': 1.2069545447714136, 'h1': 0.7627226165687309}"
sINT,2,0.25,60.0,64,0.22719957270396177,2852,"{'h1': 0.4960150273896029, 'h4': 0.7462651940613367, 'h3': 0.7200373192294452}"
static,2,0.25,60.0,213,0.09011627399943513,13395,"{'h4': 0.6230550970734849, 'h3': 0.6478387909655089, 'h1': 0.5647690150300143}"
dynamic,2,0.25,60.0,103,0.09765558732523694,6286,"{'h3': 1.3814220518409555, 'h4': 1.1597418291196087, 'h1': 1.068826544368518}"
sINT,2,0.25,60.0,64,0.22736306738865147,2852,"{'h1': 0.7934061550687524, 'h4': 1.184233388882797, 'h3': 0.8558335291612054}"
static,2,0.25,60.0,212,0.0926528791368621,13434,"{'h4': 1.4566766789179513, 'h3': 0.9117356240485854, 'h1': 0.941198651745183}"
dynamic,2,0.5,60.0,69,0.14254765658742205,4064,"{'h3': 1.1501830129401367, 'h4': 1.314950977117104, 'h1': 0.9360684674147258}"
