frame.number,frame.time_epoch,frame.time_relative,frame.len
1,1662950592.766084876,0.000000000,1442
2,1662950592.779543227,0.013458351,1442
3,1662950592.793314797,0.027229921,1442
4,1662950592.804731259,0.038646383,1442
5,1662950592.818271144,0.052186268,1442
6,1662950592.829717456,0.063632580,1442
7,1662950592.841741619,0.075656743,1442
8,1662950592.857214995,0.091130119,1442
9,1662950592.873881594,0.107796718,1442
10,1662950592.889772936,0.123688060,1442
11,1662950592.901667301,0.135582425,1442
12,1662950592.914688737,0.148603861,1442
13,1662950592.927019835,0.160934959,1442
14,1662950592.942160120,0.176075244,1442
15,1662950592.954102423,0.188017547,1442
16,1662950592.966544903,0.200460027,1442
17,1662950592.991016701,0.224931825,1442
18,1662950593.006849249,0.240764373,1442
19,1662950593.020017868,0.253932992,1442
20,1662950593.034408690,0.268323814,1442
21,1662950593.046509587,0.280424711,1442
22,1662950593.062507596,0.296422720,1442
23,1662950593.077451599,0.311366723,1442
24,1662950593.095434746,0.329349870,1442
25,1662950593.108984695,0.342899819,1442
26,1662950593.121769108,0.355684232,1442
27,1662950593.134700752,0.368615876,1442
28,1662950593.147272329,0.381187453,1442
29,1662950593.159410968,0.393326092,1442
30,1662950593.171400517,0.405315641,1442
31,1662950593.186000915,0.419916039,1442
32,1662950593.198430886,0.432346010,1442
33,1662950593.210702287,0.444617411,1442
34,1662950593.222626203,0.456541327,1442
35,1662950593.234756750,0.468671874,1442
36,1662950593.246757915,0.480673039,1442
37,1662950593.258858054,0.492773178,1442
38,1662950593.325145462,0.559060586,1442
39,1662950593.338709974,0.572625098,1442
40,1662950593.351036837,0.584951961,1442
41,1662950593.378926133,0.612841257,1442
42,1662950593.394967741,0.628882865,1442
43,1662950593.408705929,0.642621053,1442
44,1662950593.426554437,0.660469561,1442
45,1662950593.439378787,0.673293911,1442
46,1662950593.455550363,0.689465487,1442
47,1662950593.469075643,0.702990767,1442
48,1662950593.482928727,0.716843851,1442
49,1662950593.498164845,0.732079969,1442
50,1662950593.511757231,0.745672355,1442
51,1662950593.523826254,0.757741378,1442
52,1662950593.536041052,0.769956176,1442
53,1662950593.548760883,0.782676007,1442
