frame.number,frame.time_epoch,frame.time_relative,frame.len
1,1662951028.190007679,0.000000000,1442
2,1662951028.203060522,0.013052843,1442
3,1662951028.216000005,0.025992326,1442
4,1662951028.227715731,0.037708052,1442
5,1662951028.239647947,0.049640268,1442
6,1662951028.252793930,0.062786251,1442
7,1662951028.264636975,0.074629296,1442
8,1662951028.280041316,0.090033637,1442
9,1662951028.298002918,0.107995239,1442
10,1662951028.313818226,0.123810547,1442
11,1662951028.324772435,0.134764756,1442
12,1662951028.338162791,0.148155112,1442
13,1662951028.350015235,0.160007556,1442
14,1662951028.365096154,0.175088475,1442
15,1662951028.376948454,0.186940775,1442
16,1662951028.389101371,0.199093692,1442
17,1662951028.414418534,0.224410855,1442
18,1662951028.430869596,0.240861917,1442
19,1662951028.443636226,0.253628547,1442
20,1662951028.457521250,0.267513571,1442
21,1662951028.469605097,0.279597418,1442
22,1662951028.485416452,0.295408773,1442
23,1662951028.500696127,0.310688448,1442
24,1662951028.517776896,0.327769217,1442
25,1662951028.532141746,0.342134067,1442
26,1662951028.545334070,0.355326391,1442
27,1662951028.557519958,0.367512279,1442
28,1662951028.570215895,0.380208216,1442
29,1662951028.582617380,0.392609701,1442
30,1662951028.594260449,0.404252770,1442
31,1662951028.608843971,0.418836292,1442
32,1662951028.621318761,0.431311082,1442
33,1662951028.633439778,0.443432099,1442
34,1662951028.645399135,0.455391456,1442
35,1662951028.657514428,0.467506749,1442
36,1662951028.669438102,0.479430423,1442
37,1662951028.683497155,0.493489476,1442
38,1662951028.748382693,0.558375014,1442
39,1662951028.762041997,0.572034318,1442
40,1662951028.773535240,0.583527561,1442
41,1662951028.803614712,0.613607033,1442
42,1662951028.817713768,0.627706089,1442
43,1662951028.831195481,0.641187802,1442
44,1662951028.849128967,0.659121288,1442
45,1662951028.862015197,0.672007518,1442
46,1662951028.878127506,0.688119827,1442
47,1662951028.891496953,0.701489274,1442
48,1662951028.905332831,0.715325152,1442
49,1662951028.920488938,0.730481259,1442
50,1662951028.934459847,0.744452168,1442
51,1662951028.946271510,0.756263831,1442
52,1662951028.958924538,0.768916859,1442
53,1662951028.971151675,0.781143996,1442
54,1662951028.984786213,0.794778534,1442
55,1662951028.997163922,0.807156243,1442
56,1662951029.009591520,0.819583841,1442
57,1662951029.021876274,0.831868595,1442
58,1662951029.035073361,0.845065682,1442
59,1662951029.046197397,0.856189718,1442
60,1662951029.059855412,0.869847733,1442
61,1662951029.072905373,0.882897694,1442
62,1662951029.084864752,0.894857073,1442
63,1662951029.097343665,0.907335986,1442
64,1662951029.109721204,0.919713525,1442
65,1662951029.122133897,0.932126218,1442
66,1662951029.134664781,0.944657102,1442
67,1662951029.146338296,0.956330617,1442
68,1662951029.160601821,0.970594142,1442
69,1662951029.172580031,0.982572352,1442
70,1662951029.185880694,0.995873015,1442
71,1662951029.199394766,1.009387087,1442
72,1662951029.211167700,1.021160021,1442
73,1662951029.225878953,1.035871274,1442
74,1662951029.237808440,1.047800761,1442
75,1662951029.250469202,1.060461523,1442
76,1662951029.264781561,1.074773882,1442
77,1662951029.274680145,1.084672466,1442
78,1662951029.289305172,1.099297493,1442
79,1662951029.303336376,1.113328697,1442
80,1662951029.319732587,1.129724908,1442
81,1662951029.329618282,1.139610603,1442
82,1662951029.342155633,1.152147954,1442
83,1662951029.354466673,1.164458994,1442
84,1662951029.367014613,1.177006934,1442
85,1662951029.379786184,1.189778505,1442
86,1662951029.394336860,1.204329181,1442
87,1662951029.406635430,1.216627751,1442
88,1662951029.419563248,1.229555569,1442
89,1662951029.433882020,1.243874341,1442
90,1662951029.446523706,1.256516027,1442
91,1662951029.458875766,1.268868087,1442
92,1662951029.471110391,1.281102712,1442
93,1662951029.484012053,1.294004374,1442
94,1662951029.494840440,1.304832761,1442
95,1662951029.507721296,1.317713617,1442
96,1662951029.519192565,1.329184886,1442
97,1662951029.531936301,1.341928622,1442
98,1662951029.543083486,1.353075807,1442
99,1662951029.556017434,1.366009755,1442
100,1662951029.567200905,1.377193226,1442
101,1662951029.582055451,1.392047772,1442
102,1662951029.595682151,1.405674472,1442
103,1662951029.606830646,1.416822967,1442
104,1662951029.619524630,1.429516951,1442
105,1662951029.633066276,1.443058597,1442
106,1662951029.644046603,1.454038924,1442
107,1662951029.656776782,1.466769103,1442
108,1662951029.670130290,1.480122611,1442
109,1662951029.681690127,1.491682448,1442
110,1662951029.695132159,1.505124480,1442
111,1662951029.705756022,1.515748343,1442
112,1662951029.720903368,1.530895689,1442
113,1662951029.735128971,1.545121292,1442
114,1662951029.747488224,1.557480545,1442
115,1662951029.759787401,1.569779722,1442
116,1662951029.775955094,1.585947415,1442
117,1662951029.788539380,1.598531701,1442
118,1662951029.803162651,1.613154972,1442
119,1662951029.815224084,1.625216405,1442
120,1662951029.829341531,1.639333852,1442
121,1662951029.839651205,1.649643526,1442
122,1662951029.851782204,1.661774525,1442
123,1662951029.866533450,1.676525771,1442
124,1662951029.880242976,1.690235297,1442
125,1662951029.896241686,1.706234007,1442
126,1662951029.911530333,1.721522654,1442
127,1662951029.924687926,1.734680247,1442
128,1662951029.939126714,1.749119035,1442
129,1662951029.952015196,1.762007517,1442
130,1662951029.963362818,1.773355139,1442
131,1662951029.976163053,1.786155374,1442
132,1662951029.991056111,1.801048432,1442
133,1662951030.000479619,1.810471940,1442
134,1662951030.014391897,1.824384218,1442
135,1662951030.026887999,1.836880320,1442
136,1662951030.042415046,1.852407367,1442
137,1662951030.052977490,1.862969811,1442
138,1662951030.065255713,1.875248034,1442
139,1662951030.080360533,1.890352854,1442
140,1662951030.093406478,1.903398799,1442
141,1662951030.108164898,1.918157219,1442
142,1662951030.121037081,1.931029402,1442
143,1662951030.132123988,1.942116309,1442
144,1662951030.147619720,1.957612041,1442
145,1662951030.160758660,1.970750981,1442
146,1662951030.173572637,1.983564958,1442
147,1662951030.187322868,1.997315189,1442
148,1662951030.200692751,2.010685072,1442
149,1662951030.212210652,2.022202973,1442
150,1662951030.228099443,2.038091764,1442
151,1662951030.240042663,2.050034984,1442
152,1662951030.252466336,2.062458657,1442
153,1662951030.264331162,2.074323483,1442
154,1662951030.276377177,2.086369498,1442
155,1662951030.288511593,2.098503914,1442
156,1662951030.300557020,2.110549341,1442
157,1662951030.312686858,2.122679179,1442
158,1662951030.328629028,2.138621349,1442
159,1662951030.346299849,2.156292170,1442
160,1662951030.357023741,2.167016062,1442
161,1662951030.371538866,2.181531187,1442
162,1662951030.384173893,2.194166214,1442
163,1662951030.403957763,2.213950084,1442
164,1662951030.416691279,2.226683600,1442
165,1662951030.429466938,2.239459259,1442
166,1662951030.442478523,2.252470844,1442
167,1662951030.454432746,2.264425067,1442
168,1662951030.466654069,2.276646390,1442
169,1662951030.480122304,2.290114625,1442
170,1662951030.492414523,2.302406844,1442
171,1662951030.504179448,2.314171769,1442
172,1662951030.516484657,2.326476978,1442
173,1662951030.528914853,2.338907174,1442
174,1662951030.540905631,2.350897952,1442
175,1662951030.553321928,2.363314249,1442
176,1662951030.568793517,2.378785838,1442
177,1662951030.580825552,2.390817873,1442
178,1662951030.593308636,2.403300957,1442
179,1662951030.606511705,2.416504026,1442
180,1662951030.619550493,2.429542814,1442
181,1662951030.631573997,2.441566318,1442
182,1662951030.645307605,2.455299926,1442
183,1662951030.656695921,2.466688242,1442
184,1662951030.669540316,2.479532637,1442
185,1662951030.684732719,2.494725040,1442
186,1662951030.698212527,2.508204848,1442
187,1662951030.710589238,2.520581559,1442
188,1662951030.722384775,2.532377096,1442
189,1662951030.735221426,2.545213747,1442
190,1662951030.749455432,2.559447753,1442
191,1662951030.763229285,2.573221606,1442
192,1662951030.775154762,2.585147083,1442
193,1662951030.786984681,2.596977002,1442
194,1662951030.801693155,2.611685476,1442
195,1662951030.815341897,2.625334218,1442
196,1662951030.827562498,2.637554819,1442
197,1662951030.843745999,2.653738320,1442
198,1662951030.856266177,2.666258498,1442
199,1662951030.869404445,2.679396766,1442
200,1662951030.881913086,2.691905407,1442
201,1662951030.894950906,2.704943227,1442
202,1662951030.906398115,2.716390436,1442
203,1662951030.918858874,2.728851195,1442
204,1662951030.932958403,2.742950724,1442
205,1662951030.945655920,2.755648241,1442
206,1662951030.957872261,2.767864582,1442
207,1662951030.970254795,2.780247116,1442
208,1662951030.982981541,2.792973862,1442
209,1662951030.995413567,2.805405888,1442
210,1662951031.007459738,2.817452059,1442
211,1662951031.021740355,2.831732676,1442
212,1662951031.035161184,2.845153505,1442
213,1662951031.047014334,2.857006655,1442
214,1662951031.062509829,2.872502150,1442
215,1662951031.075003322,2.884995643,1442
216,1662951031.086821410,2.896813731,1442
217,1662951031.099174792,2.909167113,1442
218,1662951031.111546350,2.921538671,1442
219,1662951031.124244830,2.934237151,1442
220,1662951031.136468542,2.946460863,1442
221,1662951031.150346360,2.960338681,1442
222,1662951031.163483718,2.973476039,1442
223,1662951031.175675445,2.985667766,1442
224,1662951031.188372897,2.998365218,1442
225,1662951031.201630133,3.011622454,1442
226,1662951031.214063460,3.024055781,1442
227,1662951031.226343359,3.036335680,1442
228,1662951031.238324144,3.048316465,1442
229,1662951031.251044393,3.061036714,1442
230,1662951031.263008167,3.073000488,1442
231,1662951031.275186807,3.085179128,1442
232,1662951031.286829179,3.096821500,1442
233,1662951031.298918019,3.108910340,1442
234,1662951031.311198637,3.121190958,1442
235,1662951031.323061745,3.133054066,1442
236,1662951031.338716289,3.148708610,1442
237,1662951031.350917901,3.160910222,1442
238,1662951031.364455707,3.174448028,1442
239,1662951031.375442650,3.185434971,1442
240,1662951031.388437678,3.198429999,1442
241,1662951031.400665463,3.210657784,1442
242,1662951031.412985997,3.222978318,1442
243,1662951031.425849251,3.235841572,1442
244,1662951031.437735903,3.247728224,1442
245,1662951031.451208617,3.261200938,1442
246,1662951031.463314259,3.273306580,1442
247,1662951031.475463342,3.285455663,1442
248,1662951031.487436254,3.297428575,1442
249,1662951031.503170963,3.313163284,1442
250,1662951031.515606036,3.325598357,1442
251,1662951031.531501703,3.341494024,1442
252,1662951031.546597075,3.356589396,1442
253,1662951031.559131421,3.369123742,1442
254,1662951031.571782059,3.381774380,1442
255,1662951031.584723690,3.394716011,1442
256,1662951031.599181174,3.409173495,1442
257,1662951031.611886307,3.421878628,1442
258,1662951031.623468342,3.433460663,1442
259,1662951031.635527252,3.445519573,1442
260,1662951031.647886066,3.457878387,1442
261,1662951031.661801870,3.471794191,1442
262,1662951031.675536931,3.485529252,1442
263,1662951031.688511955,3.498504276,1442
264,1662951031.700351537,3.510343858,1442
265,1662951031.712259877,3.522252198,1442
266,1662951031.724351700,3.534344021,1442
267,1662951031.739409233,3.549401554,1442
268,1662951031.753870968,3.563863289,1442
269,1662951031.766331833,3.576324154,1442
270,1662951031.780129437,3.590121758,1442
271,1662951031.791762902,3.601755223,1442
272,1662951031.806267727,3.616260048,1442
273,1662951031.818966388,3.628958709,1442
274,1662951031.833004194,3.642996515,1442
275,1662951031.848493203,3.658485524,1442
276,1662951031.860194535,3.670186856,1442
277,1662951031.875597513,3.685589834,1442
278,1662951031.890043379,3.700035700,1442
279,1662951031.903213778,3.713206099,1442
280,1662951031.915530501,3.725522822,1442
281,1662951031.927519886,3.737512207,1442
282,1662951031.939833982,3.749826303,1442
283,1662951031.951962108,3.761954429,1442
284,1662951031.967650422,3.777642743,1442
285,1662951031.980188755,3.790181076,1442
286,1662951031.995742543,3.805734864,1442
287,1662951032.008255318,3.818247639,1442
288,1662951032.020684098,3.830676419,1442
289,1662951032.035614303,3.845606624,1442
290,1662951032.047554510,3.857546831,1442
291,1662951032.060017371,3.870009692,1442
292,1662951032.072319713,3.882312034,1442
293,1662951032.083710656,3.893702977,1442
294,1662951032.095837452,3.905829773,1442
295,1662951032.107694386,3.917686707,1442
296,1662951032.119991837,3.929984158,1442
297,1662951032.132351009,3.942343330,1442
298,1662951032.144361178,3.954353499,1442
299,1662951032.159426826,3.969419147,1442
300,1662951032.171750473,3.981742794,1442
301,1662951032.185108252,3.995100573,1442
302,1662951038.318871414,10.128863735,1442
303,1662951038.331613945,10.141606266,1442
304,1662951038.343894716,10.153887037,1442
305,1662951038.355367659,10.165359980,1442
306,1662951038.368986004,10.178978325,1442
307,1662951038.381248436,10.191240757,1442
308,1662951038.394023895,10.204016216,1442
309,1662951038.406971675,10.216963996,1442
310,1662951038.419661215,10.229653536,1442
311,1662951038.433297899,10.243290220,1442
312,1662951038.449136915,10.259129236,1442
313,1662951038.464575343,10.274567664,1442
314,1662951038.477949671,10.287941992,1442
315,1662951038.492203583,10.302195904,1442
316,1662951038.506452847,10.316445168,1442
317,1662951038.520720911,10.330713232,1442
318,1662951038.533499759,10.343492080,1442
319,1662951038.545286736,10.355279057,1442
320,1662951038.557559863,10.367552184,1442
321,1662951038.573377684,10.383370005,1442
322,1662951038.585576468,10.395568789,1442
323,1662951038.597381419,10.407373740,1442
324,1662951038.609939865,10.419932186,1442
325,1662951038.622912111,10.432904432,1442
326,1662951038.638019711,10.448012032,1442
327,1662951038.650471323,10.460463644,1442
328,1662951038.663320628,10.473312949,1442
329,1662951038.676871808,10.486864129,1442
330,1662951038.689307160,10.499299481,1442
331,1662951038.702090756,10.512083077,1442
332,1662951038.714452692,10.524445013,1442
333,1662951038.727141615,10.537133936,1442
334,1662951038.741720332,10.551712653,1442
335,1662951038.754186683,10.564179004,1442
336,1662951038.769703742,10.579696063,1442
337,1662951038.783203590,10.593195911,1442
338,1662951038.797709851,10.607702172,1442
339,1662951038.810752369,10.620744690,1442
340,1662951038.822689752,10.632682073,1442
341,1662951038.834945416,10.644937737,1442
342,1662951038.847181820,10.657174141,1442
343,1662951038.859316512,10.669308833,1442
344,1662951038.871738919,10.681731240,1442
345,1662951038.883673808,10.693666129,1442
346,1662951038.896101017,10.706093338,1442
347,1662951038.908469292,10.718461613,1442
348,1662951038.921000425,10.730992746,1442
349,1662951038.932826600,10.742818921,1442
350,1662951038.944941406,10.754933727,1442
351,1662951038.957075596,10.767067917,1442
352,1662951038.969368622,10.779360943,1442
353,1662951038.981436799,10.791429120,1442
354,1662951038.993422625,10.803414946,1442
355,1662951039.006131765,10.816124086,1442
356,1662951039.018133659,10.828125980,1442
357,1662951039.030017345,10.840009666,1442
358,1662951039.042089725,10.852082046,1442
359,1662951039.054206028,10.864198349,1442
360,1662951039.067166667,10.877158988,1442
361,1662951039.078839355,10.888831676,1442
362,1662951039.091343618,10.901335939,1442
363,1662951039.103316265,10.913308586,1442
364,1662951039.115522025,10.925514346,1442
365,1662951039.127691823,10.937684144,1442
366,1662951039.141900794,10.951893115,1442
367,1662951039.152229232,10.962221553,1442
368,1662951039.164747667,10.974739988,1442
369,1662951039.176705726,10.986698047,1442
370,1662951039.189031188,10.999023509,1442
371,1662951039.201273461,11.011265782,1442
372,1662951039.214850542,11.024842863,1442
373,1662951039.226981164,11.036973485,1442
374,1662951039.239466408,11.049458729,1442
375,1662951039.251667875,11.061660196,1442
376,1662951039.264497332,11.074489653,1442
377,1662951039.276687497,11.086679818,1442
378,1662951039.289180149,11.099172470,1442
379,1662951039.301559550,11.111551871,1442
380,1662951039.313688845,11.123681166,1442
381,1662951039.326497155,11.136489476,1442
382,1662951039.338522833,11.148515154,1442
383,1662951039.350953967,11.160946288,1442
384,1662951039.362848499,11.172840820,1442
385,1662951039.374685078,11.184677399,1442
386,1662951039.387206577,11.197198898,1442
387,1662951039.399119021,11.209111342,1442
388,1662951039.411299926,11.221292247,1442
389,1662951039.423366633,11.233358954,1442
390,1662951039.435566034,11.245558355,1442
391,1662951039.447707601,11.257699922,1442
392,1662951039.460043772,11.270036093,1442
393,1662951039.472800987,11.282793308,1442
394,1662951039.485090563,11.295082884,1442
395,1662951039.497214537,11.307206858,1442
396,1662951039.509377496,11.319369817,1442
397,1662951039.521662349,11.331654670,1442
398,1662951039.533888365,11.343880686,1442
399,1662951039.547440484,11.357432805,1442
400,1662951039.559602534,11.369594855,1442
401,1662951039.578592281,11.388584602,1442
402,1662951039.590675860,11.400668181,1442
403,1662951039.603076918,11.413069239,1442
404,1662951039.615021480,11.425013801,1442
405,1662951039.627768404,11.437760725,1442
406,1662951039.643837995,11.453830316,1442
407,1662951039.654936396,11.464928717,1442
408,1662951039.667508335,11.477500656,1442
409,1662951039.680414246,11.490406567,1442
410,1662951039.693688728,11.503681049,1442
411,1662951039.711412726,11.521405047,1442
412,1662951039.724407200,11.534399521,1442
413,1662951039.736505599,11.546497920,1442
414,1662951039.748692285,11.558684606,1442
415,1662951039.762899549,11.572891870,1442
416,1662951039.775118967,11.585111288,1442
417,1662951039.787399820,11.597392141,1442
418,1662951039.799704518,11.609696839,1442
419,1662951039.811727050,11.621719371,1442
420,1662951039.825224175,11.635216496,1442
421,1662951039.838541924,11.648534245,1442
422,1662951039.854942241,11.664934562,1442
423,1662951039.867311035,11.677303356,1442
424,1662951039.879317529,11.689309850,1442
425,1662951039.894070725,11.704063046,1442
426,1662951039.905952777,11.715945098,1442
427,1662951039.918734455,11.728726776,1442
428,1662951039.930887725,11.740880046,1442
429,1662951039.943317748,11.753310069,1442
430,1662951039.955278885,11.765271206,1442
431,1662951039.967394374,11.777386695,1442
432,1662951039.983404484,11.793396805,1442
433,1662951039.999630564,11.809622885,1442
434,1662951040.012382331,11.822374652,1442
435,1662951040.027659928,11.837652249,1442
436,1662951040.040680786,11.850673107,1442
437,1662951040.055258275,11.865250596,1442
438,1662951040.067687180,11.877679501,1442
439,1662951040.083434428,11.893426749,1442
440,1662951040.102827502,11.912819823,1442
441,1662951040.111182870,11.921175191,1442
442,1662951040.123450488,11.933442809,1442
443,1662951040.135915497,11.945907818,1442
444,1662951040.150937849,11.960930170,1442
445,1662951040.164139845,11.974132166,1442
446,1662951040.174918865,11.984911186,1442
447,1662951040.187635151,11.997627472,1442
448,1662951040.199123648,12.009115969,1442
449,1662951040.211304213,12.021296534,1442
450,1662951040.220461626,12.030453947,1442
451,1662951040.223291180,12.033283501,1442
452,1662951040.228701079,12.038693400,1442
453,1662951040.235454987,12.045447308,1442
454,1662951040.239997104,12.049989425,1442
455,1662951040.247972382,12.057964703,1442
456,1662951040.249621334,12.059613655,1442
457,1662951040.258301542,12.068293863,1442
458,1662951040.260475382,12.070467703,1442
459,1662951040.266927151,12.076919472,1442
460,1662951040.274066778,12.084059099,1442
461,1662951040.278532709,12.088525030,1442
462,1662951040.286607528,12.096599849,1442
463,1662951040.287651687,12.097644008,1442
464,1662951040.296610469,12.106602790,1442
465,1662951040.298582128,12.108574449,1442
466,1662951040.306587686,12.116580007,1442
467,1662951040.311384610,12.121376931,1442
468,1662951040.315782954,12.125775275,1442
469,1662951040.324798835,12.134791156,1442
470,1662951040.326074557,12.136066878,1442
471,1662951040.334469739,12.144462060,1442
472,1662951040.336139011,12.146131332,1442
473,1662951040.343306484,12.153298805,1442
474,1662951040.347983425,12.157975746,1442
475,1662951040.353553407,12.163545728,1442
476,1662951040.359982449,12.169974770,1442
477,1662951040.362924025,12.172916346,1442
478,1662951040.372295988,12.182288309,1442
479,1662951040.373415294,12.183407615,1442
480,1662951040.382053559,12.192045880,1442
