frame.number,frame.time_epoch,frame.time_relative,frame.len
1,1662938103.273210961,0.000000000,1442
2,1662938103.284026094,0.010815133,1442
3,1662938103.298295237,0.025084276,1442
4,1662938103.310940006,0.037729045,1442
5,1662938103.319795745,0.046584784,1442
6,1662938103.334766595,0.061555634,1442
7,1662938103.345184268,0.071973307,1442
8,1662938103.360507675,0.087296714,1442
9,1662938103.377446305,0.104235344,1442
10,1662938103.393290774,0.120079813,1442
11,1662938103.405120111,0.131909150,1442
12,1662938103.418126157,0.144915196,1442
13,1662938103.430487085,0.157276124,1442
14,1662938103.445637453,0.172426492,1442
15,1662938103.457528324,0.184317363,1442
16,1662938103.469682479,0.196471518,1442
17,1662938103.494214245,0.221003284,1442
18,1662938103.510375090,0.237164129,1442
19,1662938103.523751491,0.250540530,1442
20,1662938103.538638320,0.265427359,1442
21,1662938103.550987419,0.277776458,1442
22,1662938103.567218069,0.294007108,1442
23,1662938103.582615688,0.309404727,1442
24,1662938103.599640507,0.326429546,1442
25,1662938103.614128059,0.340917098,1442
26,1662938103.626782218,0.353571257,1442
27,1662938103.639748449,0.366537488,1442
28,1662938103.652211314,0.379000353,1442
29,1662938103.664438505,0.391227544,1442
30,1662938103.676515571,0.403304610,1442
31,1662938103.690901006,0.417690045,1442
32,1662938103.703549287,0.430338326,1442
33,1662938103.715626500,0.442415539,1442
34,1662938103.727658586,0.454447625,1442
35,1662938103.739772039,0.466561078,1442
36,1662938103.751700237,0.478489276,1442
37,1662938103.763749723,0.490538762,1442
38,1662938103.830353255,0.557142294,1442
39,1662938103.843779401,0.570568440,1442
40,1662938103.855585295,0.582374334,1442
41,1662938103.883821531,0.610610570,1442
42,1662938103.899713101,0.626502140,1442
43,1662938103.913367944,0.640156983,1442
44,1662938103.931353774,0.658142813,1442
45,1662938103.944136870,0.670925909,1442
46,1662938103.960486419,0.687275458,1442
47,1662938103.974132600,0.700921639,1442
48,1662938103.987629540,0.714418579,1442
49,1662938104.002853553,0.729642592,1442
50,1662938104.018765733,0.745554772,1442
51,1662938104.028632483,0.755421522,1442
52,1662938104.040594827,0.767383866,1442
53,1662938104.052802135,0.779591174,1442
54,1662938104.067342433,0.794131472,1442
55,1662938104.079591389,0.806380428,1442
56,1662938104.091712645,0.818501684,1442
57,1662938104.104195213,0.830984252,1442
58,1662938104.116325082,0.843114121,1442
59,1662938104.128315760,0.855104799,1442
60,1662938104.141785638,0.868574677,1442
61,1662938104.155551633,0.882340672,1442
62,1662938104.167276747,0.894065786,1442
63,1662938104.179744482,0.906533521,1442
64,1662938104.191762672,0.918551711,1442
65,1662938104.204432267,0.931221306,1442
66,1662938104.216641075,0.943430114,1442
67,1662938104.228495903,0.955284942,1442
68,1662938104.243214907,0.970003946,1442
69,1662938104.255392905,0.982181944,1442
70,1662938104.268434786,0.995223825,1442
71,1662938104.281926771,1.008715810,1442
72,1662938104.294308752,1.021097791,1442
73,1662938104.309360966,1.036150005,1442
74,1662938104.322171049,1.048960088,1442
75,1662938104.334956344,1.061745383,1442
76,1662938104.347512120,1.074301159,1442
77,1662938104.359822615,1.086611654,1442
78,1662938104.374768532,1.101557571,1442
79,1662938104.388666531,1.115455570,1442
80,1662938104.403677101,1.130466140,1442
81,1662938104.416223163,1.143012202,1442
82,1662938104.429237961,1.156027000,1442
83,1662938104.441893881,1.168682920,1442
84,1662938104.454686506,1.181475545,1442
85,1662938104.466851749,1.193640788,1442
86,1662938104.481650714,1.208439753,1442
87,1662938104.493902274,1.220691313,1442
88,1662938104.507022749,1.233811788,1442
89,1662938104.521183223,1.247972262,1442
90,1662938104.533585313,1.260374352,1442
91,1662938104.545876953,1.272665992,1442
92,1662938104.557962755,1.284751794,1442
93,1662938104.570280140,1.297069179,1442
94,1662938104.582148998,1.308938037,1442
95,1662938104.594263079,1.321052118,1442
96,1662938104.606199723,1.332988762,1442
97,1662938104.618100997,1.344890036,1442
98,1662938104.630172036,1.356961075,1442
99,1662938104.642228559,1.369017598,1442
100,1662938104.655581993,1.382371032,1442
101,1662938104.669109344,1.395898383,1442
102,1662938104.681084010,1.407873049,1442
103,1662938104.694130037,1.420919076,1442
104,1662938104.706479944,1.433268983,1442
105,1662938104.718921990,1.445711029,1442
106,1662938104.731304719,1.458093758,1442
107,1662938104.743656260,1.470445299,1442
108,1662938104.755832839,1.482621878,1442
109,1662938104.767854744,1.494643783,1442
110,1662938104.780250870,1.507039909,1442
111,1662938104.792453618,1.519242657,1442
112,1662938104.807125889,1.533914928,1442
113,1662938104.821869136,1.548658175,1442
114,1662938104.834407120,1.561196159,1442
115,1662938104.847065309,1.573854348,1442
116,1662938104.863023107,1.589812146,1442
117,1662938104.875384217,1.602173256,1442
118,1662938104.890242065,1.617031104,1442
119,1662938104.902231054,1.629020093,1442
120,1662938104.914239999,1.641029038,1442
121,1662938104.926578686,1.653367725,1442
122,1662938104.938500336,1.665289375,1442
123,1662938104.953280455,1.680069494,1442
124,1662938104.967176550,1.693965589,1442
125,1662938104.983161831,1.709950870,1442
126,1662938104.998239795,1.725028834,1442
127,1662938105.011397201,1.738186240,1442
128,1662938105.025926848,1.752715887,1442
129,1662938105.038116376,1.764905415,1442
130,1662938105.050205249,1.776994288,1442
131,1662938105.062889930,1.789678969,1442
132,1662938105.075150265,1.801939304,1442
133,1662938105.087122838,1.813911877,1442
134,1662938105.100665485,1.827454524,1442
135,1662938105.113044433,1.839833472,1442
136,1662938105.127157951,1.853946990,1442
137,1662938105.139395603,1.866184642,1442
138,1662938105.151482083,1.878271122,1442
139,1662938105.166252144,1.893041183,1442
140,1662938105.180005051,1.906794090,1442
141,1662938105.194572396,1.921361435,1442
142,1662938105.206717618,1.933506657,1442
143,1662938105.218658870,1.945447909,1442
144,1662938105.233824503,1.960613542,1442
145,1662938105.246850373,1.973639412,1442
146,1662938105.260063394,1.986852433,1442
147,1662938105.273820191,2.000609230,1442
148,1662938105.286572532,2.013361571,1442
149,1662938105.298678364,2.025467403,1442
150,1662938105.316547292,2.043336331,1442
151,1662938105.326587461,2.053376500,1442
152,1662938105.339105022,2.065894061,1442
153,1662938105.350865482,2.077654521,1442
154,1662938105.362931185,2.089720224,1442
155,1662938105.375248388,2.102037427,1442
156,1662938105.387101920,2.113890959,1442
157,1662938105.401936659,2.128725698,1442
158,1662938105.415109336,2.141898375,1442
159,1662938105.431312902,2.158101941,1442
160,1662938105.443608818,2.170397857,1442
161,1662938105.458019727,2.184808766,1442
162,1662938105.470661843,2.197450882,1442
163,1662938105.490613210,2.217402249,1442
164,1662938105.503217734,2.230006773,1442
165,1662938105.515910767,2.242699806,1442
166,1662938105.528525817,2.255314856,1442
167,1662938105.540667193,2.267456232,1442
168,1662938105.552826217,2.279615256,1442
169,1662938105.566676786,2.293465825,1442
170,1662938105.578597205,2.305386244,1442
171,1662938105.590671006,2.317460045,1442
172,1662938105.602985626,2.329774665,1442
173,1662938105.615393848,2.342182887,1442
174,1662938105.627264933,2.354053972,1442
175,1662938105.639806620,2.366595659,1442
176,1662938105.656476295,2.383265334,1442
177,1662938105.667461047,2.394250086,1442
178,1662938105.679636042,2.406425081,1442
179,1662938105.692932139,2.419721178,1442
180,1662938105.706822963,2.433612002,1442
181,1662938105.717526273,2.444315312,1442
182,1662938105.730384108,2.457173147,1442
183,1662938105.742525452,2.469314491,1442
184,1662938105.754902326,2.481691365,1442
185,1662938105.770141187,2.496930226,1442
186,1662938105.784069365,2.510858404,1442
187,1662938105.796201252,2.522990291,1442
188,1662938105.808357500,2.535146539,1442
189,1662938105.821063305,2.547852344,1442
190,1662938105.836147305,2.562936344,1442
191,1662938105.848792556,2.575581595,1442
192,1662938105.860707584,2.587496623,1442
193,1662938105.872657266,2.599446305,1442
194,1662938105.887256227,2.614045266,1442
195,1662938105.900557734,2.627346773,1442
196,1662938105.912692300,2.639481339,1442
197,1662938105.928226806,2.655015845,1442
198,1662938105.941930072,2.668719111,1442
199,1662938105.954959928,2.681748967,1442
200,1662938105.967221896,2.694010935,1442
201,1662938105.979329323,2.706118362,1442
202,1662938105.991407007,2.718196046,1442
203,1662938106.003628870,2.730417909,1442
204,1662938106.017949550,2.744738589,1442
205,1662938106.030570321,2.757359360,1442
206,1662938106.042860702,2.769649741,1442
207,1662938106.055033216,2.781822255,1442
208,1662938106.067576187,2.794365226,1442
209,1662938106.079486129,2.806275168,1442
210,1662938106.092031755,2.818820794,1442
211,1662938106.106497113,2.833286152,1442
212,1662938106.119571116,2.846360155,1442
213,1662938106.131607415,2.858396454,1442
214,1662938106.147157216,2.873946255,1442
215,1662938106.159213378,2.886002417,1442
216,1662938106.171647349,2.898436388,1442
217,1662938106.183853354,2.910642393,1442
218,1662938106.196314825,2.923103864,1442
219,1662938106.209083129,2.935872168,1442
220,1662938106.221372075,2.948161114,1442
221,1662938106.234959266,2.961748305,1442
222,1662938106.247822193,2.974611232,1442
223,1662938106.260402932,2.987191971,1442
224,1662938106.273092558,2.999881597,1442
225,1662938106.285702955,3.012491994,1442
226,1662938106.298878844,3.025667883,1442
227,1662938106.311177111,3.037966150,1442
228,1662938106.323387029,3.050176068,1442
229,1662938106.335609476,3.062398515,1442
230,1662938106.347781422,3.074570461,1442
231,1662938106.359889119,3.086678158,1442
232,1662938106.371763170,3.098552209,1442
233,1662938106.383580612,3.110369651,1442
234,1662938106.395967410,3.122756449,1442
235,1662938106.407797419,3.134586458,1442
236,1662938106.423475716,3.150264755,1442
237,1662938106.435583844,3.162372883,1442
238,1662938106.447618719,3.174407758,1442
239,1662938106.460110234,3.186899273,1442
240,1662938106.473303899,3.200092938,1442
241,1662938106.485634361,3.212423400,1442
242,1662938106.497979619,3.224768658,1442
243,1662938106.510736813,3.237525852,1442
244,1662938106.522817866,3.249606905,1442
245,1662938106.536042947,3.262831986,1442
246,1662938106.548062007,3.274851046,1442
247,1662938106.560151230,3.286940269,1442
248,1662938106.572227649,3.299016688,1442
249,1662938106.587964453,3.314753492,1442
250,1662938106.601605922,3.328394961,1442
251,1662938106.616238085,3.343027124,1442
252,1662938106.631484888,3.358273927,1442
253,1662938106.644315744,3.371104783,1442
254,1662938106.657142424,3.383931463,1442
255,1662938106.668981901,3.395770940,1442
256,1662938106.683574876,3.410363915,1442
257,1662938106.695951258,3.422740297,1442
258,1662938106.707938468,3.434727507,1442
259,1662938106.719910397,3.446699436,1442
260,1662938106.732794419,3.459583458,1442
261,1662938106.746510915,3.473299954,1442
262,1662938106.760360099,3.487149138,1442
263,1662938106.773422443,3.500211482,1442
264,1662938106.785238742,3.512027781,1442
265,1662938106.797127946,3.523916985,1442
266,1662938106.809320874,3.536109913,1442
267,1662938106.824354159,3.551143198,1442
268,1662938106.838903172,3.565692211,1442
269,1662938106.850955742,3.577744781,1442
270,1662938106.863659572,3.590448611,1442
271,1662938106.876250282,3.603039321,1442
272,1662938106.890862291,3.617651330,1442
273,1662938106.903056642,3.629845681,1442
274,1662938106.917385585,3.644174624,1442
275,1662938106.932632077,3.659421116,1442
276,1662938106.944819393,3.671608432,1442
277,1662938106.960018581,3.686807620,1442
278,1662938106.972584080,3.699373119,1442
279,1662938106.987881641,3.714670680,1442
280,1662938107.000268715,3.727057754,1442
281,1662938107.012330987,3.739120026,1442
282,1662938107.024316841,3.751105880,1442
283,1662938107.039208777,3.765997816,1442
284,1662938107.052339694,3.779128733,1442
285,1662938107.064941442,3.791730481,1442
286,1662938107.080380878,3.807169917,1442
287,1662938107.092919690,3.819708729,1442
288,1662938107.105723727,3.832512766,1442
289,1662938107.120617726,3.847406765,1442
290,1662938107.132645719,3.859434758,1442
291,1662938107.144995565,3.871784604,1442
292,1662938107.157119225,3.883908264,1442
293,1662938107.168778154,3.895567193,1442
294,1662938107.180847354,3.907636393,1442
295,1662938107.192864935,3.919653974,1442
296,1662938107.205089266,3.931878305,1442
297,1662938107.217246763,3.944035802,1442
298,1662938107.229375954,3.956164993,1442
299,1662938107.244387928,3.971176967,1442
300,1662938107.256633883,3.983422922,1442
301,1662938107.269810557,3.996599596,1442
302,1662938113.399898222,10.126687261,1442
303,1662938113.415217402,10.142006441,1442
304,1662938113.427562928,10.154351967,1442
305,1662938113.439193704,10.165982743,1442
306,1662938113.452567285,10.179356324,1442
307,1662938113.465143604,10.191932643,1442
308,1662938113.477732804,10.204521843,1442
309,1662938113.490525159,10.217314198,1442
310,1662938113.503178170,10.229967209,1442
311,1662938113.517149800,10.243938839,1442
312,1662938113.532823204,10.259612243,1442
313,1662938113.548493132,10.275282171,1442
314,1662938113.561854779,10.288643818,1442
315,1662938113.576193389,10.302982428,1442
316,1662938113.589352165,10.316141204,1442
317,1662938113.604568929,10.331357968,1442
318,1662938113.617137986,10.343927025,1442
319,1662938113.629116185,10.355905224,1442
320,1662938113.641455584,10.368244623,1442
321,1662938113.656704262,10.383493301,1442
322,1662938113.669218395,10.396007434,1442
323,1662938113.681481024,10.408270063,1442
324,1662938113.693929139,10.420718178,1442
325,1662938113.707010212,10.433799251,1442
326,1662938113.721911017,10.448700056,1442
327,1662938113.734414989,10.461204028,1442
328,1662938113.747397552,10.474186591,1442
329,1662938113.760428818,10.487217857,1442
330,1662938113.773011087,10.499800126,1442
331,1662938113.785543590,10.512332629,1442
332,1662938113.798177096,10.524966135,1442
333,1662938113.810878513,10.537667552,1442
334,1662938113.825208049,10.551997088,1442
335,1662938113.837972960,10.564761999,1442
336,1662938113.853146625,10.579935664,1442
337,1662938113.866467175,10.593256214,1442
338,1662938113.881393281,10.608182320,1442
339,1662938113.894176631,10.620965670,1442
340,1662938113.906366724,10.633155763,1442
341,1662938113.920341761,10.647130800,1442
342,1662938113.930565835,10.657354874,1442
343,1662938113.942821059,10.669610098,1442
344,1662938113.954876058,10.681665097,1442
345,1662938113.967021994,10.693811033,1442
346,1662938113.979402380,10.706191419,1442
347,1662938113.991875565,10.718664604,1442
348,1662938114.004188756,10.730977795,1442
349,1662938114.016156069,10.742945108,1442
350,1662938114.028373734,10.755162773,1442
351,1662938114.040407305,10.767196344,1442
352,1662938114.052507029,10.779296068,1442
353,1662938114.064652600,10.791441639,1442
354,1662938114.076794508,10.803583547,1442
355,1662938114.089332149,10.816121188,1442
356,1662938114.101237576,10.828026615,1442
357,1662938114.113218875,10.840007914,1442
358,1662938114.125063493,10.851852532,1442
359,1662938114.137280149,10.864069188,1442
360,1662938114.149798777,10.876587816,1442
361,1662938114.162044424,10.888833463,1442
362,1662938114.174320253,10.901109292,1442
363,1662938114.186678637,10.913467676,1442
364,1662938114.198785842,10.925574881,1442
365,1662938114.210993188,10.937782227,1442
366,1662938114.223539114,10.950328153,1442
367,1662938114.235604082,10.962393121,1442
368,1662938114.247942344,10.974731383,1442
369,1662938114.259848487,10.986637526,1442
370,1662938114.271916949,10.998705988,1442
371,1662938114.284175862,11.010964901,1442
372,1662938114.297915034,11.024704073,1442
373,1662938114.310216474,11.037005513,1442
374,1662938114.322638167,11.049427206,1442
375,1662938114.335074028,11.061863067,1442
376,1662938114.347607629,11.074396668,1442
377,1662938114.359819781,11.086608820,1442
378,1662938114.372077750,11.098866789,1442
379,1662938114.384292173,11.111081212,1442
380,1662938114.396499643,11.123288682,1442
381,1662938114.408803700,11.135592739,1442
382,1662938114.421572808,11.148361847,1442
383,1662938114.433843022,11.160632061,1442
384,1662938114.445604332,11.172393371,1442
385,1662938114.457829512,11.184618551,1442
386,1662938114.472002939,11.198791978,1442
387,1662938114.482209912,11.208998951,1442
