sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse_expanded,rmse_simple,telemetry_byte_count
dynamic,2,1.0,60.0,40,0.0597442046228031,0.0034892157948105914,2055
sINT,2,1.0,60.0,64,0.09433202669038748,0.01633158318061526,2852
static,2,1.0,60.0,55,0.05860097151557977,0.0034607271445023513,3158
dynamic,2,1.0,60.0,38,0.07560550891799657,0.0031019658790614074,2022
sINT,2,1.0,60.0,64,0.10879831253209929,0.013187229191421214,2852
static,2,1.0,60.0,55,0.054637136694600706,0.0029565126359108514,3193
dynamic,2,1.0,60.0,38,0.06649805125999705,0.019251854644521532,2176
sINT,2,1.0,60.0,64,0.10499108644866767,0.013240083898874126,2852
static,2,1.0,60.0,55,0.04423559997128227,0.003288436503387141,3201
dynamic,2,1.0,60.0,39,0.06502575880624115,0.004974461121417489,2026
sINT,2,1.0,60.0,64,0.10670676517642717,0.012354603451585726,2852
static,2,1.0,60.0,55,0.05822954925130076,0.0032249540930409516,3177
dynamic,2,1.0,60.0,41,0.06986499805395054,0.0037231147212394133,2051
sINT,2,1.0,60.0,64,0.09692683275307293,0.010841900977898436,2852
static,2,1.0,60.0,55,0.047702255160381284,0.003531782411666508,3205
dynamic,2,2.0,60.0,24,0.11946057304902669,0.0015654193324425264,1234
sINT,2,2.0,60.0,64,0.09984396085386735,0.017777711724836154,2852
static,2,2.0,60.0,28,0.10304401087879474,0.0016290568990731408,1581
dynamic,2,2.0,60.0,23,0.12479960921246394,0.0019110240906832672,1209
sINT,2,2.0,60.0,64,0.10344580494062897,0.014149832803103618,2852
static,2,2.0,60.0,28,0.1025683266844714,0.001567801461687857,1584
dynamic,2,1.5,60.0,29,0.1174632262347311,0.001794368854177049,1480
sINT,2,1.5,60.0,64,0.0919038604002286,0.012649673215799382,2852
static,2,1.5,60.0,38,0.11476192839738716,0.0023658942151618657,2209
dynamic,2,1.5,60.0,29,0.11729285842110149,0.0021950658487565394,1459
sINT,2,1.5,60.0,64,0.0971338636011529,0.012471032642678011,2852
static,2,1.5,60.0,38,0.1240102606310701,0.002478417749492046,2197
dynamic,2,1.5,60.0,30,0.10986584433436894,0.002136704788264144,1547
sINT,2,1.5,60.0,64,0.10539940859230554,0.012220900876562506,2852
static,2,1.5,60.0,38,0.11300348187614567,0.0021658659646291534,2209
dynamic,2,1.5,60.0,28,0.12065066374646742,0.0030005186175374814,1438
sINT,2,1.5,60.0,64,0.09680208462908355,0.010083896905432065,2852
static,2,1.5,60.0,38,0.11927670042536974,0.0020201248659331822,2169
dynamic,2,1.5,60.0,28,0.13819969798395126,0.007642067814111172,1472
sINT,2,1.5,60.0,64,0.09543412255006829,0.022347618838535834,2852
static,2,1.5,60.0,38,0.1287215831940468,0.0022255224451872774,2149
dynamic,2,2.0,60.0,22,0.12775491490713406,0.0013892111310099412,1196
sINT,2,2.0,60.0,64,0.09891539789259025,0.022654243307124473,2852
static,2,2.0,60.0,28,0.10433777524181569,0.0014903910005798079,1588
dynamic,2,2.0,60.0,22,0.11937349913390093,0.0016711244610112387,1213
sINT,2,2.0,60.0,64,0.09740210691441335,0.013244216629295922,2852
static,2,2.0,60.0,28,0.10292027003641872,0.0014509855118933618,1564
