frame.number,frame.time_epoch,frame.time_relative,frame.len
1,1662945787.070531454,0.000000000,1442
2,1662945787.080164861,0.009633407,1442
3,1662945787.092921613,0.022390159,1442
4,1662945787.104420454,0.033889000,1442
5,1662945787.116256234,0.045724780,1442
6,1662945787.129625068,0.059093614,1442
7,1662945787.141764302,0.071232848,1442
8,1662945787.156833991,0.086302537,1442
9,1662945787.173794565,0.103263111,1442
10,1662945787.189718648,0.119187194,1442
11,1662945787.201574155,0.131042701,1442
12,1662945787.215252723,0.144721269,1442
13,1662945787.226916144,0.156384690,1442
14,1662945787.242077720,0.171546266,1442
15,1662945787.253922616,0.183391162,1442
16,1662945787.266096091,0.195564637,1442
17,1662945787.290777212,0.220245758,1442
18,1662945787.306644148,0.236112694,1442
19,1662945787.319701418,0.249169964,1442
20,1662945787.334048075,0.263516621,1442
21,1662945787.346074035,0.275542581,1442
22,1662945787.362246417,0.291714963,1442
23,1662945787.377009623,0.306478169,1442
24,1662945787.394184552,0.323653098,1442
25,1662945787.408510621,0.337979167,1442
26,1662945787.421240283,0.350708829,1442
27,1662945787.434252716,0.363721262,1442
28,1662945787.446522192,0.375990738,1442
29,1662945787.458738790,0.388207336,1442
30,1662945787.470780404,0.400248950,1442
31,1662945787.485347729,0.414816275,1442
32,1662945787.497938535,0.427407081,1442
33,1662945787.510114298,0.439582844,1442
34,1662945787.521952832,0.451421378,1442
35,1662945787.534124851,0.463593397,1442
36,1662945787.545969034,0.475437580,1442
37,1662945787.558086662,0.487555208,1442
38,1662945787.624406359,0.553874905,1442
39,1662945787.637872494,0.567341040,1442
40,1662945787.649874003,0.579342549,1442
41,1662945787.678057816,0.607526362,1442
42,1662945787.693964209,0.623432755,1442
43,1662945787.707629314,0.637097860,1442
44,1662945787.725555477,0.655024023,1442
45,1662945787.738517664,0.667986210,1442
46,1662945787.754588830,0.684057376,1442
47,1662945787.768079757,0.697548303,1442
48,1662945787.781946663,0.711415209,1442
49,1662945787.796964034,0.726432580,1442
50,1662945787.810694242,0.740162788,1442
51,1662945787.822711225,0.752179771,1442
52,1662945787.834744550,0.764213096,1442
53,1662945787.846887896,0.776356442,1442
54,1662945787.861365211,0.790833757,1442
55,1662945787.873781055,0.803249601,1442
56,1662945787.885838772,0.815307318,1442
57,1662945787.898266255,0.827734801,1442
58,1662945787.910446117,0.839914663,1442
59,1662945787.922586394,0.852054940,1442
60,1662945787.935746972,0.865215518,1442
61,1662945787.949485503,0.878954049,1442
62,1662945787.961523493,0.890992039,1442
63,1662945787.973842693,0.903311239,1442
64,1662945787.985948091,0.915416637,1442
65,1662945787.998590250,0.928058796,1442
66,1662945788.010690235,0.940158781,1442
67,1662945788.022720366,0.952188912,1442
68,1662945788.036976452,0.966444998,1442
69,1662945788.049051602,0.978520148,1442
70,1662945788.061590394,0.991058940,1442
71,1662945788.076292681,1.005761227,1442
72,1662945788.086866032,1.016334578,1442
73,1662945788.101723509,1.031192055,1442
74,1662945788.113943526,1.043412072,1442
75,1662945788.126653404,1.056121950,1442
76,1662945788.138636699,1.068105245,1442
77,1662945788.150728973,1.080197519,1442
78,1662945788.165055287,1.094523833,1442
79,1662945788.178689227,1.108157773,1442
80,1662945788.193377770,1.122846316,1442
81,1662945788.205646553,1.135115099,1442
82,1662945788.218287415,1.147755961,1442
83,1662945788.230710738,1.160179284,1442
84,1662945788.243238741,1.172707287,1442
85,1662945788.255587299,1.185055845,1442
86,1662945788.270367202,1.199835748,1442
87,1662945788.282594442,1.212062988,1442
88,1662945788.295702480,1.225171026,1442
89,1662945788.310274320,1.239742866,1442
90,1662945788.322380496,1.251849042,1442
91,1662945788.334634439,1.264102985,1442
92,1662945788.346670726,1.276139272,1442
93,1662945788.358996764,1.288465310,1442
94,1662945788.370788052,1.300256598,1442
95,1662945788.382862261,1.312330807,1442
96,1662945788.394930054,1.324398600,1442
97,1662945788.406779455,1.336248001,1442
98,1662945788.418866892,1.348335438,1442
99,1662945788.430933079,1.360401625,1442
100,1662945788.442971034,1.372439580,1442
101,1662945788.458005025,1.387473571,1442
102,1662945788.469767311,1.399235857,1442
103,1662945788.483051936,1.412520482,1442
104,1662945788.494930103,1.424398649,1442
105,1662945788.507562093,1.437030639,1442
106,1662945788.519786289,1.449254835,1442
107,1662945788.532426643,1.461895189,1442
108,1662945788.544558444,1.474026990,1442
109,1662945788.556553859,1.486022405,1442
110,1662945788.568710089,1.498178635,1442
111,1662945788.581206106,1.510674652,1442
112,1662945788.596524513,1.525993059,1442
113,1662945788.610607694,1.540076240,1442
114,1662945788.622923165,1.552391711,1442
115,1662945788.635470065,1.564938611,1442
116,1662945788.651666582,1.581135128,1442
117,1662945788.664181661,1.593650207,1442
118,1662945788.678936901,1.608405447,1442
119,1662945788.690860844,1.620329390,1442
120,1662945788.702971443,1.632439989,1442
121,1662945788.715405130,1.644873676,1442
122,1662945788.727685860,1.657154406,1442
123,1662945788.742567507,1.672036053,1442
124,1662945788.755998022,1.685466568,1442
125,1662945788.771987832,1.701456378,1442
126,1662945788.787134427,1.716602973,1442
