frame.number,frame.time_epoch,frame.time_relative,frame.len
1,1661908486.242940316,0.000000000,1442
2,1661908486.245108650,0.002168334,1442
3,1661908486.248403429,0.005463113,1442
4,1661908486.252420377,0.009480061,1442
5,1661908486.255727567,0.012787251,1442
6,1661908486.259062512,0.016122196,1442
7,1661908486.262276618,0.019336302,1442
8,1661908486.265353928,0.022413612,1442
9,1661908486.268412663,0.025472347,1442
10,1661908486.271843143,0.028902827,1442
11,1661908486.274955168,0.032014852,1442
12,1661908486.281531148,0.038590832,1442
13,1661908486.282715876,0.039775560,1442
14,1661908486.285986124,0.043045808,1442
15,1661908486.289221951,0.046281635,1442
16,1661908486.292469228,0.049528912,1442
17,1661908486.296455603,0.053515287,1442
18,1661908486.299127662,0.056187346,1442
19,1661908486.305326890,0.062386574,1442
20,1661908486.308099974,0.065159658,1442
21,1661908486.312672916,0.069732600,1442
22,1661908486.315417152,0.072476836,1442
23,1661908486.318515280,0.075574964,1442
24,1661908486.321097724,0.078157408,1442
25,1661908486.323968012,0.081027696,1442
26,1661908486.327348959,0.084408643,1442
27,1661908486.330883747,0.087943431,1442
28,1661908486.333395913,0.090455597,1442
29,1661908486.336237348,0.093297032,1442
30,1661908486.338930267,0.095989951,1442
31,1661908486.342208902,0.099268586,1442
32,1661908486.345030217,0.102089901,1442
33,1661908486.348163153,0.105222837,1442
34,1661908486.350956415,0.108016099,1442
35,1661908486.353792330,0.110852014,1442
36,1661908486.356670065,0.113729749,1442
37,1661908486.359538660,0.116598344,1442
38,1661908486.362951761,0.120011445,1442
39,1661908486.367737824,0.124797508,1442
40,1661908486.371944766,0.129004450,1442
41,1661908486.374777244,0.131836928,1442
42,1661908486.378268784,0.135328468,1442
43,1661908486.380617444,0.137677128,1442
44,1661908486.383447412,0.140507096,1442
45,1661908486.386013934,0.143073618,1442
46,1661908486.388830310,0.145889994,1442
47,1661908486.391614519,0.148674203,1442
48,1661908486.394808710,0.151868394,1442
49,1661908486.398305284,0.155364968,1442
50,1661908486.401166451,0.158226135,1442
51,1661908486.404118453,0.161178137,1442
52,1661908486.407063940,0.164123624,1442
53,1661908486.409994542,0.167054226,1442
54,1661908486.413818511,0.170878195,1442
55,1661908486.416713442,0.173773126,1442
56,1661908486.419682207,0.176741891,1442
57,1661908486.422361861,0.179421545,1442
58,1661908486.425190153,0.182249837,1442
59,1661908486.428671623,0.185731307,1442
60,1661908486.431494789,0.188554473,1442
61,1661908486.433977958,0.191037642,1442
62,1661908486.436843823,0.193903507,1442
63,1661908486.439543487,0.196603171,1442
64,1661908486.442141684,0.199201368,1442
65,1661908486.444846424,0.201906108,1442
66,1661908486.447733807,0.204793491,1442
67,1661908486.452644741,0.209704425,1442
68,1661908486.455294348,0.212354032,1442
69,1661908486.457851388,0.214911072,1442
70,1661908486.460533481,0.217593165,1442
71,1661908486.463215784,0.220275468,1442
72,1661908486.465901963,0.222961647,1442
73,1661908486.468668212,0.225727896,1442
74,1661908486.472549975,0.229609659,1442
75,1661908486.475208837,0.232268521,1442
76,1661908486.477791187,0.234850871,1442
77,1661908486.480521855,0.237581539,1442
78,1661908486.483437558,0.240497242,1442
79,1661908486.485988397,0.243048081,1442
80,1661908486.488724277,0.245783961,1442
81,1661908486.491337389,0.248397073,1442
82,1661908486.494081769,0.251141453,1442
83,1661908486.497222213,0.254281897,1442
84,1661908486.500484731,0.257544415,1442
85,1661908486.504490438,0.261550122,1442
86,1661908486.506263642,0.263323326,1442
87,1661908486.508786998,0.265846682,1442
88,1661908486.511415058,0.268474742,1442
89,1661908486.514009002,0.271068686,1442
90,1661908486.517665220,0.274724904,1442
91,1661908486.520291685,0.277351369,1442
92,1661908486.522905982,0.279965666,1442
93,1661908486.526046106,0.283105790,1442
94,1661908486.529122991,0.286182675,1442
95,1661908486.532239834,0.289299518,1442
96,1661908486.535588876,0.292648560,1442
97,1661908486.538166811,0.295226495,1442
98,1661908486.541322131,0.298381815,1442
99,1661908486.545544086,0.302603770,1442
100,1661908486.548625390,0.305685074,1442
101,1661908486.551737366,0.308797050,1442
102,1661908486.554241415,0.311301099,1442
103,1661908486.557356284,0.314415968,1442
104,1661908486.559802922,0.316862606,1442
105,1661908486.562297204,0.319356888,1442
106,1661908486.565095385,0.322155069,1442
107,1661908486.567972651,0.325032335,1442
108,1661908486.570492141,0.327551825,1442
109,1661908486.573131634,0.330191318,1442
110,1661908486.575749674,0.332809358,1442
111,1661908486.578264433,0.335324117,1442
112,1661908486.580903472,0.337963156,1442
113,1661908486.583521945,0.340581629,1442
114,1661908486.586103979,0.343163663,1442
115,1661908486.588673440,0.345733124,1442
116,1661908486.591325347,0.348385031,1442
117,1661908486.593806882,0.350866566,1442
118,1661908486.597914592,0.354974276,1442
119,1661908486.600571222,0.357630906,1442
120,1661908486.603725034,0.360784718,1442
121,1661908486.606345054,0.363404738,1442
122,1661908486.608849141,0.365908825,1442
123,1661908486.611487817,0.368547501,1442
124,1661908486.614261632,0.371321316,1442
125,1661908486.616837121,0.373896805,1442
126,1661908486.619434120,0.376493804,1442
127,1661908486.621996592,0.379056276,1442
128,1661908486.625043254,0.382102938,1442
129,1661908486.627658319,0.384718003,1442
130,1661908486.630215895,0.387275579,1442
131,1661908486.632806551,0.389866235,1442
132,1661908486.635908860,0.392968544,1442
133,1661908486.638368108,0.395427792,1442
134,1661908486.640973021,0.398032705,1442
135,1661908486.644061661,0.401121345,1442
136,1661908486.647159300,0.404218984,1442
137,1661908486.649722457,0.406782141,1442
138,1661908486.652819241,0.409878925,1442
139,1661908486.655361301,0.412420985,1442
140,1661908486.658133743,0.415193427,1442
141,1661908486.660752328,0.417812012,1442
142,1661908486.663424501,0.420484185,1442
143,1661908486.665967470,0.423027154,1442
144,1661908486.668536288,0.425595972,1442
145,1661908486.671087793,0.428147477,1442
146,1661908486.674156332,0.431216016,1442
147,1661908486.676789475,0.433849159,1442
148,1661908486.679400248,0.436459932,1442
149,1661908486.681965264,0.439024948,1442
150,1661908486.684647734,0.441707418,1442
151,1661908486.687322085,0.444381769,1442
152,1661908486.689959399,0.447019083,1442
153,1661908486.692462127,0.449521811,1442
154,1661908486.695534976,0.452594660,1442
155,1661908486.698085332,0.455145016,1442
156,1661908486.701131803,0.458191487,1442
157,1661908486.704233729,0.461293413,1442
158,1661908486.707348151,0.464407835,1442
159,1661908486.709889324,0.466949008,1442
160,1661908486.713018108,0.470077792,1442
161,1661908486.715573318,0.472633002,1442
162,1661908486.718249417,0.475309101,1442
