sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count
dynamic,1,1.0,60.0,16,0.027315889517762783,532
sINT,1,1.0,60.0,21,0.056133108258895156,722
static,1,1.0,60.0,61,0.014271406775042308,2242
dynamic,1,1.0,60.0,16,0.03178608167005054,532
sINT,1,1.0,60.0,21,0.043448788522028006,722
static,1,1.0,60.0,61,0.0472233484571392,2242
dynamic,1,1.0,60.0,17,0.025479683850075655,570
sINT,1,1.0,60.0,21,0.046548203044161865,722
static,1,1.0,60.0,61,0.014241642863704829,2242
dynamic,1,1.0,60.0,18,0.027403894808861733,608
sINT,1,1.0,60.0,21,0.05075797083398397,722
static,1,1.0,60.0,61,0.019223001947359028,2242
dynamic,1,1.0,60.0,16,0.022343864653599044,532
sINT,1,1.0,60.0,21,0.039143211463018364,722
static,1,1.0,60.0,61,0.011984010252669007,2242
dynamic,1,2.0,60.0,11,0.03227612324654922,342
sINT,1,2.0,60.0,22,0.03478246856519727,760
static,1,2.0,60.0,31,0.048569995660125334,1102
dynamic,1,2.0,60.0,13,0.04530468588163546,418
sINT,1,2.0,60.0,21,0.05308354397424306,722
static,1,2.0,60.0,31,0.036580433878801284,1102
dynamic,1,2.0,60.0,11,0.04387644812790368,342
sINT,1,2.0,60.0,21,0.047592702274120484,722
static,1,2.0,60.0,31,0.052122368037359326,1102
dynamic,1,2.0,60.0,13,0.045607635791895994,418
sINT,1,2.0,60.0,20,0.050510744737360475,684
static,1,2.0,60.0,31,0.03243334881218185,1102
dynamic,1,2.0,60.0,10,0.0381304401437685,304
sINT,1,2.0,60.0,21,0.04745487070572449,722
static,1,2.0,60.0,31,0.044690799331665525,1102
dynamic,1,4.0,60.0,9,0.04715774246796394,266
sINT,1,4.0,60.0,19,0.03746616638951625,646
static,1,4.0,60.0,16,0.03915801248367996,532
dynamic,1,4.0,60.0,8,0.05222467642835947,228
sINT,1,4.0,60.0,19,0.03697670030705528,646
static,1,4.0,60.0,16,0.042338640339727035,532
dynamic,1,4.0,60.0,8,0.03250664357953058,228
sINT,1,4.0,60.0,19,0.039160553214862795,646
static,1,4.0,60.0,16,0.040992794985127,532
dynamic,1,4.0,60.0,8,0.030113373031307653,228
sINT,1,4.0,60.0,19,0.03516001643648638,646
static,1,4.0,60.0,16,0.04451882571795598,532
