flow,throughput,anomalous_identification_timestamp
"('10.0.1.1', 50001, '10.0.4.4', 50001, 17)",38069795.9549845,"[(4355885, 4456206)]"
"('10.0.1.1', 50005, '10.0.4.4', 50005, 17)",36042374.57525485,"[(6377991, 6478051)]"
"('10.0.2.2', 50008, '10.0.4.4', 50008, 17)",26396101.30222897,"[(6416965, 6517101)]"
"('10.0.2.2', 50007, '10.0.4.4', 50007, 17)",32202865.2723007,"[(9406998, 9507163)]"
"('10.0.2.2', 50012, '10.0.4.4', 50012, 17)",23141419.787590835,"[(11411228, 11511412)]"
"('10.0.1.1', 50008, '10.0.4.4', 50008, 17)",32175309.454701416,"[(12419656, 12519913)]"
"('10.0.1.1', 50013, '10.0.4.4', 50013, 17)",32412313.525919273,"[(13427899, 13528114)]"
"('10.0.2.2', 50004, '10.0.4.4', 50004, 17)",32018168.597412173,"[(14419078, 14519471)]"
"('10.0.3.3', 50012, '10.0.4.4', 50012, 17)",26595627.924611133,"[(16386676, 16486903)]"
"('10.0.1.1', 50006, '10.0.4.4', 50006, 17)",36309589.12308352,"[(18457414, 18557663)]"
"('10.0.1.1', 50003, '10.0.4.4', 50003, 17)",25504884.041469406,"[(20483332, 20583454)]"
"('10.0.3.3', 50007, '10.0.4.4', 50007, 17)",23079450.091087375,"[(21401972, 21502425)]"
"('10.0.2.2', 50011, '10.0.4.4', 50011, 17)",29299757.36637677,"[(24438396, 24538547)]"
"('10.0.2.2', 50005, '10.0.4.4', 50005, 17)",23286685.32586965,"[(26431052, 26531092)]"
"('10.0.2.2', 50006, '10.0.4.4', 50006, 17)",24289183.598005217,"[(30454553, 30554614)]"
"('10.0.1.1', 50012, '10.0.4.4', 50012, 17)",25248877.805486284,"[(30464126, 30564376)]"
"('10.0.3.3', 50013, '10.0.4.4', 50013, 17)",36745113.68169127,"[(32429123, 32529403)]"
"('10.0.1.1', 50004, '10.0.4.4', 50004, 17)",25508960.50186802,"[(34502475, 34602581)]"
"('10.0.3.3', 50001, '10.0.4.4', 50001, 17)",21365293.383270912,"[(35439828, 35539953)]"
"('10.0.3.3', 50011, '10.0.4.4', 50011, 17)",29195214.03032179,"[(38453182, 38553308)]"
"('10.0.3.3', 50010, '10.0.4.4', 50010, 17)",27632498.95119564,"[(38494086, 38594200)]"
"('10.0.2.2', 50013, '10.0.4.4', 50013, 17)",20868040.3331872,"[(40492615, 40592979)]"
"('10.0.3.3', 50006, '10.0.4.4', 50006, 17)",28406242.823050115,"[(44475217, 44575364)]"
"('10.0.3.3', 50003, '10.0.4.4', 50003, 17)",32726329.856194027,"[(47549642, 47649916)]"
"('10.0.2.2', 50015, '10.0.4.4', 50015, 17)",38344031.447479725,"[(50536265, 50636750)]"
"('10.0.2.2', 50010, '10.0.4.4', 50010, 17)",36717274.19016302,"[(51519109, 51619160)]"
"('10.0.2.2', 50009, '10.0.4.4', 50009, 17)",32728941.01689506,"[(51519091, 51619357)]"
"('10.0.3.3', 50015, '10.0.4.4', 50015, 17)",36512543.23539936,"[(52483273, 52583885)]"
"('10.0.1.1', 50011, '10.0.4.4', 50011, 17)",25797445.38284358,"[(52544234, 52644523)]"
"('10.0.1.1', 50014, '10.0.4.4', 50014, 17)",31437732.871170424,"[(52556393, 52656502)]"
"('10.0.3.3', 50004, '10.0.4.4', 50004, 17)",18199218.43847197,"[(63508217, 63608529)]"
"('10.0.3.3', 50009, '10.0.4.4', 50009, 17)",24781971.673759855,"[(63516685, 63617016)]"
"('10.0.1.1', 50002, '10.0.4.4', 50002, 17)",20374220.374220375,"[(69566490, 69666538)]"
"('10.0.2.2', 50003, '10.0.4.4', 50003, 17)",29421773.78429207,"[(73486573, 73587070)]"
"('10.0.1.1', 50010, '10.0.4.4', 50010, 17)",34380561.94380562,"[(73586671, 73686681)]"
"('10.0.1.1', 50015, '10.0.4.4', 50015, 17)",20021371.57580418,"[(74567892, 74668025)]"
"('10.0.3.3', 50002, '10.0.4.4', 50002, 17)",31592691.89749519,"[(79493370, 79593697)]"
"('10.0.2.2', 50002, '10.0.4.4', 50002, 17)",34710975.14646192,"[(84543127, 84643153)]"
"('10.0.1.1', 50009, '10.0.4.4', 50009, 17)",27714473.86801301,"[(85631735, 85731957)]"
"('10.0.3.3', 50008, '10.0.4.4', 50008, 17)",27288159.287440337,"[(89595076, 89695222)]"
"('10.0.1.1', 50007, '10.0.4.4', 50007, 17)",23787017.648818426,"[(89632656, 89732946)]"
"('10.0.3.3', 50014, '10.0.4.4', 50014, 17)",39308069.19308069,"[(92591821, 92691831)]"
"('10.0.2.2', 50014, '10.0.4.4', 50014, 17)",29800294.973492246,"[(96570464, 96670812)]"
"('10.0.2.2', 50001, '10.0.4.4', 50001, 17)",29672285.205846477,"[(100524381, 100624407)]"
