flow,throughput,anomalous_identification_timestamp
"('10.0.1.1', 50001, '10.0.4.4', 50001, 17)",36064311.503859885,"[(4523681, 4623943)]"
"('10.0.2.2', 50008, '10.0.4.4', 50008, 17)",26291916.048200462,"[(6575614, 6675862)]"
"('10.0.2.2', 50007, '10.0.4.4', 50007, 17)",31978247.3958854,"[(9570477, 9670511)]"
"('10.0.2.2', 50012, '10.0.4.4', 50012, 17)",23182567.51491173,"[(11577319, 11677408)]"
"('10.0.1.1', 50008, '10.0.4.4', 50008, 17)",34541498.93618084,"[(12592224, 12692335)]"
"('10.0.1.1', 50013, '10.0.4.4', 50013, 17)",33956536.92963455,"[(13590736, 13690913)]"
"('10.0.2.2', 50004, '10.0.4.4', 50004, 17)",32178681.663353674,"[(14585887, 14685998)]"
"('10.0.3.3', 50012, '10.0.4.4', 50012, 17)",26790266.326887522,"[(16603741, 16703806)]"
"('10.0.1.1', 50006, '10.0.4.4', 50006, 17)",36477863.58427582,"[(18602233, 18702588)]"
"('10.0.1.1', 50003, '10.0.4.4', 50003, 17)",25658443.98485348,"[(20629145, 20729234)]"
"('10.0.3.3', 50007, '10.0.4.4', 50007, 17)",23097413.844591767,"[(21618210, 21718668)]"
"('10.0.2.2', 50011, '10.0.4.4', 50011, 17)",29335621.769413456,"[(24607929, 24708143)]"
"('10.0.2.2', 50005, '10.0.4.4', 50005, 17)",23255376.02234191,"[(26601565, 26701825)]"
"('10.0.1.1', 50012, '10.0.4.4', 50012, 17)",25477176.934804052,"[(30614896, 30715255)]"
"('10.0.2.2', 50006, '10.0.4.4', 50006, 17)",24162594.16313295,"[(30626121, 30726346)]"
"('10.0.3.3', 50013, '10.0.4.4', 50013, 17)",37463149.58899731,"[(32647886, 32748007)]"
"('10.0.1.1', 50004, '10.0.4.4', 50004, 17)",25681280.0,"[(34653343, 34753343)]"
"('10.0.3.3', 50001, '10.0.4.4', 50001, 17)",21455669.691832054,"[(35657308, 35757578)]"
"('10.0.3.3', 50005, '10.0.4.4', 50005, 17)",19945166.232267562,"[(37648569, 37749091)]"
"('10.0.3.3', 50011, '10.0.4.4', 50011, 17)",29517351.320653204,"[(38672074, 38772441)]"
"('10.0.3.3', 50010, '10.0.4.4', 50010, 17)",27941659.360803377,"[(38713274, 38813650)]"
"('10.0.2.2', 50013, '10.0.4.4', 50013, 17)",20960030.24845524,"[(40668560, 40769061)]"
"('10.0.3.3', 50006, '10.0.4.4', 50006, 17)",28428766.67231971,"[(44694968, 44795209)]"
"('10.0.3.3', 50003, '10.0.4.4', 50003, 17)",32845898.037649173,"[(47770242, 47870377)]"
"('10.0.2.2', 50015, '10.0.4.4', 50015, 17)",38105156.017682336,"[(50714938, 50815151)]"
"('10.0.2.2', 50010, '10.0.4.4', 50010, 17)",32318960.259935014,"[(51699007, 51799032)]"
"('10.0.2.2', 50009, '10.0.4.4', 50009, 17)",28711739.520063724,"[(51698995, 51799425)]"
"('10.0.1.1', 50011, '10.0.4.4', 50011, 17)",18566022.65688997,"[(52696931, 52797033)]"
"('10.0.3.3', 50015, '10.0.4.4', 50015, 17)",31346925.747117266,"[(52704608, 52804860)]"
"('10.0.1.1', 50014, '10.0.4.4', 50014, 17)",22403294.31989685,"[(52709241, 52809292)]"
"('10.0.3.3', 50004, '10.0.4.4', 50004, 17)",20828967.121680602,"[(63720874, 63821457)]"
"('10.0.3.3', 50009, '10.0.4.4', 50009, 17)",28610977.188963044,"[(63728763, 63829153)]"
"('10.0.2.2', 50003, '10.0.4.4', 50003, 17)",29298200.1554683,"[(73675188, 73775530)]"
"('10.0.1.1', 50010, '10.0.4.4', 50010, 17)",34550472.098716095,"[(73742792, 73842877)]"
"('10.0.1.1', 50015, '10.0.4.4', 50015, 17)",20158896.16557516,"[(74724000, 74824015)]"
"('10.0.3.3', 50002, '10.0.4.4', 50002, 17)",31968021.106069993,"[(79671601, 79771667)]"
"('10.0.2.2', 50002, '10.0.4.4', 50002, 17)",34308010.829749964,"[(84735164, 84835628)]"
"('10.0.1.1', 50009, '10.0.4.4', 50009, 17)",27866086.748334065,"[(85790317, 85890561)]"
"('10.0.1.1', 50007, '10.0.4.4', 50007, 17)",23938297.596360117,"[(89791792, 89892015)]"
"('10.0.3.3', 50014, '10.0.4.4', 50014, 17)",39579376.09183928,"[(92773061, 92873236)]"
"('10.0.2.2', 50014, '10.0.4.4', 50014, 17)",29455663.352896556,"[(96767458, 96867646)]"
"('10.0.2.2', 50001, '10.0.4.4', 50001, 17)",29803360.857887432,"[(100723597, 100823750)]"
