src_ip,src_port,dest_ip,dest_port,dest_src_pkts,dest_src_bytes,src_dest_pkts,src_dest_bytes,total_pkts,total_bytes,relative_time,total_time
10.0.2.2,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.000000000,100.6270
10.0.3.3,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.012475575,100.6694
10.0.1.1,50000,10.0.4.4,50000,0,0,8923,12492200,8923,12492200,0.012712417,100.6127
10.0.3.3,50014,10.0.4.4,50014,0,0,356,498400,356,498400,89.343376601,0.1020
10.0.1.1,50001,10.0.4.4,50001,0,0,351,491400,351,491400,1.019326175,0.1012
10.0.2.2,50015,10.0.4.4,50015,0,0,348,487200,348,487200,47.210527417,0.1026
10.0.2.2,50010,10.0.4.4,50010,0,0,338,473200,338,473200,48.195110792,0.1034
10.0.3.3,50013,10.0.4.4,50013,0,0,337,471800,337,471800,29.125332054,0.1014
10.0.3.3,50015,10.0.4.4,50015,0,0,337,471800,337,471800,49.201291756,0.1021
10.0.1.1,50006,10.0.4.4,50006,0,0,330,462000,330,462000,15.085333697,0.1014
10.0.1.1,50005,10.0.4.4,50005,0,0,329,460600,329,460600,3.039932191,0.1022
10.0.1.1,50010,10.0.4.4,50010,0,0,314,439600,314,439600,70.254627777,0.1024
10.0.2.2,50002,10.0.4.4,50002,0,0,314,439600,314,439600,81.257727090,0.1030
10.0.1.1,50008,10.0.4.4,50008,0,0,311,435400,311,435400,9.074265319,0.1020
10.0.1.1,50013,10.0.4.4,50013,0,0,310,434000,310,434000,10.073058232,0.1016
10.0.2.2,50009,10.0.4.4,50009,0,0,301,421400,301,421400,48.195088886,0.1034
10.0.3.3,50003,10.0.4.4,50003,0,0,296,414400,296,414400,44.260007223,0.1019
10.0.2.2,50007,10.0.4.4,50007,0,0,291,407400,291,407400,6.053330795,0.1025
10.0.3.3,50002,10.0.4.4,50002,0,0,290,406000,290,406000,76.197504285,0.1134
10.0.2.2,50004,10.0.4.4,50004,0,0,289,404600,289,404600,11.068661831,0.1032
10.0.1.1,50014,10.0.4.4,50014,0,0,288,403200,288,403200,49.204273764,0.1027
10.0.2.2,50014,10.0.4.4,50014,0,0,269,376600,269,376600,93.388888472,0.1024
10.0.2.2,50001,10.0.4.4,50001,0,0,267,373800,267,373800,97.346512151,0.1053
10.0.2.2,50011,10.0.4.4,50011,0,0,266,372400,266,372400,21.092967361,0.1017
10.0.2.2,50003,10.0.4.4,50003,0,0,265,371000,265,371000,70.190806626,0.1017
10.0.3.3,50009,10.0.4.4,50009,0,0,259,362600,259,362600,60.234468482,0.1030
10.0.3.3,50006,10.0.4.4,50006,0,0,256,358400,256,358400,41.180963658,0.1020
10.0.3.3,50011,10.0.4.4,50011,0,0,252,352800,252,352800,35.153430331,0.1435
10.0.1.1,50009,10.0.4.4,50009,0,0,250,350000,250,350000,82.309292138,0.1036
10.0.3.3,50008,10.0.4.4,50008,0,0,245,343000,245,343000,86.343494106,0.1011
10.0.2.2,50008,10.0.4.4,50008,0,0,241,337400,241,337400,3.064276316,0.1004
10.0.3.3,50012,10.0.4.4,50012,0,0,241,337400,241,337400,13.076610345,0.1017
10.0.1.1,50011,10.0.4.4,50011,0,0,235,329000,235,329000,49.192188875,0.1022
10.0.3.3,50010,10.0.4.4,50010,0,0,234,327600,234,327600,35.195037310,0.1084
10.0.1.1,50003,10.0.4.4,50003,0,0,230,322000,230,322000,17.111491181,0.1009
10.0.1.1,50012,10.0.4.4,50012,0,0,228,319200,228,319200,27.094872448,0.1017
10.0.2.2,50006,10.0.4.4,50006,0,0,222,310800,222,310800,27.109278157,0.1011
10.0.1.1,50007,10.0.4.4,50007,0,0,214,299600,214,299600,86.316974669,0.1024
10.0.2.2,50005,10.0.4.4,50005,0,0,210,294000,210,294000,23.086377308,0.1007
10.0.3.3,50007,10.0.4.4,50007,0,0,208,291200,208,291200,18.093857426,0.1013
10.0.2.2,50012,10.0.4.4,50012,0,0,207,289800,207,289800,8.059421034,0.1009
10.0.3.3,50001,10.0.4.4,50001,0,0,191,267400,191,267400,32.135531266,0.1014
10.0.3.3,50004,10.0.4.4,50004,0,0,188,263200,188,263200,60.226698543,0.1026
10.0.2.2,50013,10.0.4.4,50013,0,0,187,261800,187,261800,37.152591444,0.1014
10.0.1.1,50002,10.0.4.4,50002,0,0,182,254800,182,254800,66.230097489,0.1008
10.0.3.3,50005,10.0.4.4,50005,0,0,179,250600,179,250600,34.129526694,0.1007
10.0.1.1,50015,10.0.4.4,50015,0,0,179,250600,179,250600,71.236545252,0.1005
10.0.1.1,50004,10.0.4.4,50004,0,0,94,131600,94,131600,31.208070246,0.0277

