src_ip,src_port,dest_ip,dest_port,dest_src_pkts,dest_src_bytes,src_dest_pkts,src_dest_bytes,total_pkts,total_bytes,relative_time,total_time
10.0.3.3,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.000000000,100.4580
10.0.2.2,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.000340501,100.4433
10.0.1.1,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.015140115,100.4866
10.0.3.3,50014,10.0.4.4,50014,0,0,356,498400,356,498400,89.232432122,0.1026
10.0.1.1,50001,10.0.4.4,50001,0,0,351,491400,351,491400,1.029237135,0.1178
10.0.2.2,50015,10.0.4.4,50015,0,0,348,487200,348,487200,47.172396122,0.1012
10.0.2.2,50010,10.0.4.4,50010,0,0,338,473200,338,473200,48.154782945,0.1044
10.0.3.3,50013,10.0.4.4,50013,0,0,337,471800,337,471800,29.107351590,0.1013
10.0.3.3,50015,10.0.4.4,50015,0,0,337,471800,337,471800,49.158447671,0.1089
10.0.1.1,50006,10.0.4.4,50006,0,0,330,462000,330,462000,15.123903447,0.1018
10.0.1.1,50005,10.0.4.4,50005,0,0,329,460600,329,460600,3.076184820,0.1043
10.0.1.1,50010,10.0.4.4,50010,0,0,314,439600,314,439600,70.255593906,0.1017
10.0.2.2,50002,10.0.4.4,50002,0,0,314,439600,314,439600,81.185266536,0.1017
10.0.1.1,50008,10.0.4.4,50008,0,0,311,435400,311,435400,9.110887918,0.1013
10.0.1.1,50013,10.0.4.4,50013,0,0,310,434000,310,434000,10.109124292,0.1046
10.0.2.2,50009,10.0.4.4,50009,0,0,301,421400,301,421400,48.154747860,0.1033
10.0.3.3,50003,10.0.4.4,50003,0,0,296,414400,296,414400,44.225535343,0.1012
10.0.2.2,50007,10.0.4.4,50007,0,0,291,407400,291,407400,6.044199571,0.1015
10.0.3.3,50002,10.0.4.4,50002,0,0,290,406000,290,406000,76.126688355,0.1029
10.0.2.2,50004,10.0.4.4,50004,0,0,289,404600,289,404600,11.057343830,0.1023
10.0.2.2,50014,10.0.4.4,50014,0,0,269,376600,269,376600,93.214185347,0.1009
10.0.3.3,50011,10.0.4.4,50011,0,0,268,375200,268,375200,35.130527487,0.1015
10.0.2.2,50001,10.0.4.4,50001,0,0,267,373800,267,373800,97.167374351,0.1006
10.0.2.2,50011,10.0.4.4,50011,0,0,266,372400,266,372400,21.078171178,0.1012
10.0.2.2,50003,10.0.4.4,50003,0,0,265,371000,265,371000,70.126046104,0.1010
10.0.1.1,50014,10.0.4.4,50014,0,0,259,362600,259,362600,49.222745734,0.1017
10.0.3.3,50009,10.0.4.4,50009,0,0,259,362600,259,362600,60.183218143,0.1017
10.0.3.3,50006,10.0.4.4,50006,0,0,256,358400,256,358400,41.151489354,0.1009
10.0.3.3,50010,10.0.4.4,50010,0,0,253,354200,253,354200,35.170985366,0.1015
10.0.1.1,50009,10.0.4.4,50009,0,0,250,350000,250,350000,82.304069888,0.1018
10.0.3.3,50008,10.0.4.4,50008,0,0,245,343000,245,343000,86.232032467,0.1031
10.0.2.2,50008,10.0.4.4,50008,0,0,241,337400,241,337400,3.055404351,0.1008
10.0.3.3,50012,10.0.4.4,50012,0,0,241,337400,241,337400,13.069671857,0.1003
10.0.1.1,50004,10.0.4.4,50004,0,0,231,323400,231,323400,31.169025653,0.1010
10.0.1.1,50003,10.0.4.4,50003,0,0,230,322000,230,322000,17.149780891,0.1009
10.0.1.1,50012,10.0.4.4,50012,0,0,228,319200,228,319200,27.130344368,0.1009
10.0.2.2,50006,10.0.4.4,50006,0,0,222,310800,222,310800,27.091912858,0.1008
10.0.1.1,50007,10.0.4.4,50007,0,0,214,299600,214,299600,86.307316501,0.1011
10.0.1.1,50011,10.0.4.4,50011,0,0,212,296800,212,296800,49.210276472,0.1015
10.0.2.2,50005,10.0.4.4,50005,0,0,210,294000,210,294000,23.070223654,0.1012
10.0.3.3,50007,10.0.4.4,50007,0,0,208,291200,208,291200,18.082951694,0.1008
10.0.2.2,50012,10.0.4.4,50012,0,0,207,289800,207,289800,8.048948043,0.1010
10.0.3.3,50001,10.0.4.4,50001,0,0,191,267400,191,267400,32.116462522,0.1003
10.0.3.3,50004,10.0.4.4,50004,0,0,188,263200,188,263200,60.175805008,0.1010
10.0.2.2,50013,10.0.4.4,50013,0,0,187,261800,187,261800,37.128268739,0.1005
10.0.1.1,50002,10.0.4.4,50002,0,0,182,254800,182,254800,66.231423773,0.1008
10.0.3.3,50005,10.0.4.4,50005,0,0,179,250600,179,250600,34.107590562,0.1007
10.0.1.1,50015,10.0.4.4,50015,0,0,179,250600,179,250600,71.236432473,0.1012

