flow,throughput,anomalous_identification_timestamp
"('10.0.1.1', 50001, '10.0.4.4', 50001, 17)",38154608.483685985,"[(4884565, 4984663)]"
"('10.0.1.1', 50005, '10.0.4.4', 50005, 17)",35979089.34913604,"[(6908060, 7008296)]"
"('10.0.2.2', 50008, '10.0.4.4', 50008, 17)",26057434.996205617,"[(6935757, 7035905)]"
"('10.0.2.2', 50007, '10.0.4.4', 50007, 17)",32025594.881023794,"[(9928732, 10028752)]"
"('10.0.2.2', 50012, '10.0.4.4', 50012, 17)",22887218.64470982,"[(11934405, 12034723)]"
"('10.0.1.1', 50008, '10.0.4.4', 50008, 17)",33821970.6817591,"[(12947072, 13047078)]"
"('10.0.1.1', 50013, '10.0.4.4', 50013, 17)",33992931.4510493,"[(13948018, 14048180)]"
"('10.0.2.2', 50004, '10.0.4.4', 50004, 17)",31213664.96853461,"[(14946388, 15046498)]"
"('10.0.3.3', 50012, '10.0.4.4', 50012, 17)",26639749.752650883,"[(16969071, 17069132)]"
"('10.0.1.1', 50006, '10.0.4.4', 50006, 17)",35978730.40893083,"[(18962372, 19062609)]"
"('10.0.1.1', 50003, '10.0.4.4', 50003, 17)",25153717.16042482,"[(20990398, 21090582)]"
"('10.0.3.3', 50007, '10.0.4.4', 50007, 17)",23118955.030411806,"[(21988038, 22088328)]"
"('10.0.2.2', 50011, '10.0.4.4', 50011, 17)",29487141.133415107,"[(24979095, 25079376)]"
"('10.0.2.2', 50005, '10.0.4.4', 50005, 17)",23340778.557753667,"[(26970829, 27071117)]"
"('10.0.1.1', 50012, '10.0.4.4', 50012, 17)",25342902.711323764,"[(30977085, 31077405)]"
"('10.0.2.2', 50006, '10.0.4.4', 50006, 17)",24678212.145684402,"[(30993349, 31093648)]"
"('10.0.3.3', 50013, '10.0.4.4', 50013, 17)",36637247.56918474,"[(33019081, 33119356)]"
"('10.0.1.1', 50004, '10.0.4.4', 50004, 17)",25623401.534526855,"[(35016800, 35116896)]"
"('10.0.3.3', 50001, '10.0.4.4', 50001, 17)",21249400.86275763,"[(36031837, 36131981)]"
"('10.0.3.3', 50005, '10.0.4.4', 50005, 17)",19952035.505667176,"[(38025023, 38125514)]"
"('10.0.3.3', 50011, '10.0.4.4', 50011, 17)",29167830.772300936,"[(39048081, 39148301)]"
"('10.0.3.3', 50010, '10.0.4.4', 50010, 17)",27415326.206414226,"[(39088845, 39188935)]"
"('10.0.2.2', 50013, '10.0.4.4', 50013, 17)",20655554.669431373,"[(41039382, 41139694)]"
"('10.0.3.3', 50006, '10.0.4.4', 50006, 17)",28035463.185503576,"[(45075483, 45175756)]"
"('10.0.3.3', 50003, '10.0.4.4', 50003, 17)",32537986.941676814,"[(48152246, 48252412)]"
"('10.0.2.2', 50015, '10.0.4.4', 50015, 17)",38340851.930216774,"[(51086181, 51186377)]"
"('10.0.2.2', 50009, '10.0.4.4', 50009, 17)",32810453.595672995,"[(52069304, 52169327)]"
"('10.0.2.2', 50010, '10.0.4.4', 50010, 17)",36794807.788317524,"[(52069325, 52169475)]"
"('10.0.1.1', 50011, '10.0.4.4', 50011, 17)",25752274.31770469,"[(53066761, 53166791)]"
"('10.0.1.1', 50014, '10.0.4.4', 50014, 17)",31268383.63594668,"[(53078876, 53179169)]"
"('10.0.3.3', 50015, '10.0.4.4', 50015, 17)",37191491.90773925,"[(53087112, 53187393)]"
"('10.0.3.3', 50004, '10.0.4.4', 50004, 17)",20563172.284419965,"[(64115055, 64215273)]"
"('10.0.3.3', 50009, '10.0.4.4', 50009, 17)",28171882.01826621,"[(64122934, 64223119)]"
"('10.0.1.1', 50002, '10.0.4.4', 50002, 17)",20360788.700880997,"[(70102554, 70202668)]"
"('10.0.2.2', 50003, '10.0.4.4', 50003, 17)",29331049.728158046,"[(74049748, 74150174)]"
"('10.0.1.1', 50010, '10.0.4.4', 50010, 17)",34723662.174017064,"[(74123399, 74223711)]"
"('10.0.1.1', 50015, '10.0.4.4', 50015, 17)",20041386.342506975,"[(75103721, 75203754)]"
"('10.0.3.3', 50002, '10.0.4.4', 50002, 17)",31825795.644891124,"[(80067387, 80167683)]"
"('10.0.2.2', 50002, '10.0.4.4', 50002, 17)",34053073.349681996,"[(85116295, 85216609)]"
"('10.0.1.1', 50009, '10.0.4.4', 50009, 17)",27556804.032314297,"[(86177280, 86277669)]"
"('10.0.3.3', 50008, '10.0.4.4', 50008, 17)",27055570.52875353,"[(90179199, 90279378)]"
"('10.0.1.1', 50007, '10.0.4.4', 50007, 17)",23486179.900942642,"[(90182572, 90282716)]"
"('10.0.3.3', 50014, '10.0.4.4', 50014, 17)",38997525.74028254,"[(93178081, 93278313)]"
"('10.0.2.2', 50014, '10.0.4.4', 50014, 17)",29604213.214171723,"[(97155072, 97255328)]"
"('10.0.2.2', 50001, '10.0.4.4', 50001, 17)",29546135.859463997,"[(101113329, 101213403)]"
