src_ip,src_port,dest_ip,dest_port,dest_src_pkts,dest_src_bytes,src_dest_pkts,src_dest_bytes,total_pkts,total_bytes,relative_time,total_time
10.0.1.1,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.000000000,100.5148
10.0.2.2,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.000645399,100.5146
10.0.3.3,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.001983676,100.5358
10.0.3.3,50014,10.0.4.4,50014,0,0,356,498400,356,498400,89.302077316,0.1022
10.0.1.1,50001,10.0.4.4,50001,0,0,351,491400,351,491400,1.008528795,0.1029
10.0.2.2,50015,10.0.4.4,50015,0,0,348,487200,348,487200,47.210085082,0.1017
10.0.2.2,50010,10.0.4.4,50010,0,0,338,473200,338,473200,48.193569599,0.1026
10.0.3.3,50015,10.0.4.4,50015,0,0,337,471800,337,471800,49.211087933,0.1015
10.0.3.3,50013,10.0.4.4,50013,0,0,336,470400,336,470400,29.143158272,0.1026
10.0.1.1,50006,10.0.4.4,50006,0,0,330,462000,330,462000,15.086313213,0.1027
10.0.1.1,50005,10.0.4.4,50005,0,0,329,460600,329,460600,3.031981570,0.1024
10.0.1.1,50010,10.0.4.4,50010,0,0,314,439600,314,439600,70.247572074,0.1010
10.0.2.2,50002,10.0.4.4,50002,0,0,314,439600,314,439600,81.240413421,0.1030
10.0.1.1,50008,10.0.4.4,50008,0,0,311,435400,311,435400,9.070975795,0.1030
10.0.1.1,50013,10.0.4.4,50013,0,0,310,434000,310,434000,10.071939206,0.1020
10.0.2.2,50009,10.0.4.4,50009,0,0,301,421400,301,421400,48.193308800,0.1027
10.0.3.3,50003,10.0.4.4,50003,0,0,296,414400,296,414400,44.276147105,0.1019
10.0.2.2,50007,10.0.4.4,50007,0,0,291,407400,291,407400,6.052686088,0.1016
10.0.3.3,50002,10.0.4.4,50002,0,0,290,406000,290,406000,76.191330090,0.1020
10.0.2.2,50004,10.0.4.4,50004,0,0,289,404600,289,404600,11.070376716,0.1035
10.0.1.1,50014,10.0.4.4,50014,0,0,288,403200,288,403200,49.202792721,0.1032
10.0.2.2,50014,10.0.4.4,50014,0,0,269,376600,269,376600,93.279252402,0.1015
10.0.3.3,50011,10.0.4.4,50011,0,0,268,375200,268,375200,35.172023578,0.1030
10.0.2.2,50001,10.0.4.4,50001,0,0,267,373800,267,373800,97.237346398,0.1011
10.0.2.2,50011,10.0.4.4,50011,0,0,266,372400,266,372400,21.103076022,0.1010
10.0.2.2,50003,10.0.4.4,50003,0,0,265,371000,265,371000,70.173710155,0.1011
10.0.3.3,50009,10.0.4.4,50009,0,0,259,362600,259,362600,60.246875638,0.1029
10.0.3.3,50006,10.0.4.4,50006,0,0,256,358400,256,358400,41.199422039,0.1022
10.0.3.3,50010,10.0.4.4,50010,0,0,253,354200,253,354200,35.212749344,0.1030
10.0.1.1,50009,10.0.4.4,50009,0,0,250,350000,250,350000,82.301267868,0.1015
10.0.3.3,50008,10.0.4.4,50008,0,0,245,343000,245,343000,86.303188609,0.1015
10.0.2.2,50008,10.0.4.4,50008,0,0,241,337400,241,337400,3.059739785,0.1035
10.0.3.3,50012,10.0.4.4,50012,0,0,241,337400,241,337400,13.093069962,0.1011
10.0.1.1,50011,10.0.4.4,50011,0,0,235,329000,235,329000,49.190670266,0.1026
10.0.1.1,50004,10.0.4.4,50004,0,0,231,323400,231,323400,31.140803612,0.1008
10.0.1.1,50003,10.0.4.4,50003,0,0,230,322000,230,322000,17.114388226,0.1023
10.0.1.1,50012,10.0.4.4,50012,0,0,228,319200,228,319200,27.101020400,0.1008
10.0.2.2,50006,10.0.4.4,50006,0,0,222,310800,222,310800,27.117299463,0.1007
10.0.1.1,50007,10.0.4.4,50007,0,0,214,299600,214,299600,86.306504081,0.1021
10.0.2.2,50005,10.0.4.4,50005,0,0,210,294000,210,294000,23.094769081,0.1008
10.0.3.3,50007,10.0.4.4,50007,0,0,208,291200,208,291200,18.111969201,0.1008
10.0.2.2,50012,10.0.4.4,50012,0,0,207,289800,207,289800,8.058343901,0.1012
10.0.3.3,50001,10.0.4.4,50001,0,0,191,267400,191,267400,32.155797270,0.1008
10.0.3.3,50004,10.0.4.4,50004,0,0,188,263200,188,263200,60.239040957,0.1024
10.0.2.2,50013,10.0.4.4,50013,0,0,187,261800,187,261800,37.163323818,0.1014
10.0.1.1,50002,10.0.4.4,50002,0,0,182,254800,182,254800,66.226521561,0.1002
10.0.3.3,50005,10.0.4.4,50005,0,0,179,250600,179,250600,34.149257603,0.1003
10.0.1.1,50015,10.0.4.4,50015,0,0,179,250600,179,250600,71.227777416,0.1000

